Country,Code,ContinentCode,Year,Inflation: percent change in the Consumer Price Index,Exchange rate: local currency units per U.S. dollar,Unemployment rate,Terms of trade base year = 2000,Exports of goods and services as percent of GDP,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services as percent of GDP,Imports of goods and services billion USD,Trade balance as percent of GDP,Trade balance billion USD,Value added in the agricultural sector as percent of GDP,Agriculture value added billion USD,Value added by industry as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Industry value added billion USD,Manufacturing value added billion USD,Services value added billion USD,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. hundred dollars
Australia,AUS,OC,1990,7.3,1.28,,,15.15,47.07,4.67,17.07,53.06,-1.93,-3.26,4.21,13.08,28.87,13.83,59.38,89.71,42.97,184.53,3.57,310.78,18211.28
Australia,AUS,OC,1991,3.2,1.28,9.58,,16.06,52.25,11.26,16.19,52.68,-0.13,0.96,3.18,10.35,27.74,12.6,61.14,90.23,40.99,198.89,-0.4,325.31,18821.48
Australia,AUS,OC,1992,1,1.36,10.73,,16.69,54.23,9.46,16.42,53.34,0.27,-0.6,3.05,9.92,26.95,12.61,61.79,87.55,40.97,200.73,0.41,324.88,18569.81
Australia,AUS,OC,1993,1.8,1.47,10.87,,17.57,54.75,7.41,17.89,55.75,-0.32,-1.31,3.26,10.17,26.9,12.91,62.45,83.82,40.21,194.56,4.03,311.54,17634.26
Australia,AUS,OC,1994,2,1.37,9.72,,18.01,58.02,9.49,18.52,59.68,-0.52,-4.71,3.35,10.79,26.86,13.24,62.41,86.55,42.66,201.1,3.98,322.21,18046.02
Australia,AUS,OC,1995,4.6,1.35,8.47,,17.92,65.79,4.41,19.88,73.02,-1.97,-5.24,3.02,11.1,26.51,13.16,62.33,97.35,48.32,228.88,3.84,367.22,20319.63
Australia,AUS,OC,1996,2.6,1.28,8.51,,18.94,75.81,9.96,19.39,77.63,-0.45,-0.53,3.39,13.58,26.05,12.78,62.38,104.3,51.14,249.7,3.88,400.3,21861.33
Australia,AUS,OC,1997,0.2,1.35,8.36,,19.17,83.33,10.88,18.9,82.13,0.27,1.65,3.24,14.09,25.29,12.34,63.33,109.91,53.61,275.23,3.97,434.57,23468.6
Australia,AUS,OC,1998,0.9,1.59,7.68,,19.6,78.17,4.58,20.47,81.67,-0.88,-6.47,3.04,12.12,25.44,12.49,63.53,101.46,49.84,253.43,4.58,398.9,21318.96
Australia,AUS,OC,1999,1.5,1.55,6.87,,18.34,71.29,1.92,20.79,80.79,-2.45,-10.08,3.06,11.9,24.7,11.98,64.28,95.98,46.55,249.57,5.07,388.61,20533.04
