Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,10368871679,2010,
"""Vegetable Products""",2,8177228765,2010,
"""Animal and Vegetable Bi-Products""",3,549482652.3,2010,
"""Foodstuffs""",4,6468815973,2010,
"""Mineral Products""",5,1.20E+11,2010,
"""Chemical Products""",6,10711505946,2010,
"""Plastics and Rubbers""",7,1210025320,2010,
"""Animal Hides""",8,947167252,2010,
"""Wood Products""",9,1426620738,2010,
"""Paper Goods""",10,1492158795,2010,
"""Textiles""",11,3414933674,2010,
"""Footwear and Headwear""",12,59050174.57,2010,
"""Stone And Glass""",13,259067126.5,2010,
"""Precious Metals""",14,10362546618,2010,
"""Metals""",15,18368883975,2010,
"""Machines""",16,7038393675,2010,
"""Transportation""",17,3789761348,2010,
"""Instruments""",18,2479065479,2010,
"""Weapons""",19,23269819.44,2010,
"""Miscellaneous""",20,438748148.1,2010,
"""Arts and Antiques""",21,56294371.24,2010,
"""Animal Products""",1,12060483268,2011,
"""Vegetable Products""",2,12906492450,2011,
"""Animal and Vegetable Bi-Products""",3,794016982.5,2011,
"""Foodstuffs""",4,6724191472,2011,
"""Mineral Products""",5,1.58E+11,2011,
"""Chemical Products""",6,11024001446,2011,
"""Plastics and Rubbers""",7,1456203996,2011,
"""Animal Hides""",8,1161899191,2011,
"""Wood Products""",9,1383390695,2011,
"""Paper Goods""",10,1670307468,2011,
"""Textiles""",11,6057507973,2011,
"""Footwear and Headwear""",12,65900639.99,2011,
"""Stone And Glass""",13,304539939.3,2011,
"""Precious Metals""",14,16279873086,2011,
"""Metals""",15,21755954747,2011,
"""Machines""",16,8952487598,2011,
"""Transportation""",17,4124546081,2011,
"""Instruments""",18,2956511717,2011,
"""Weapons""",19,67004091.26,2011,
"""Miscellaneous""",20,525903047.9,2011,
"""Arts and Antiques""",21,84293495.27,2011,
"""Animal Products""",1,12039909658,2012,
"""Vegetable Products""",2,14230080508,2012,
"""Animal and Vegetable Bi-Products""",3,624210483.5,2012,
"""Foodstuffs""",4,6469096573,2012,
"""Mineral Products""",5,1.43E+11,2012,
"""Chemical Products""",6,12253953906,2012,
"""Plastics and Rubbers""",7,1509035740,2012,
"""Animal Hides""",8,1115497419,2012,
"""Wood Products""",9,1160234482,2012,
"""Paper Goods""",10,1551577872,2012,
"""Textiles""",11,5916742774,2012,
"""Footwear and Headwear""",12,62214655.78,2012,
"""Stone And Glass""",13,302293717.6,2012,
"""Precious Metals""",14,17245217786,2012,
"""Metals""",15,17534391179,2012,
"""Machines""",16,9054700097,2012,
"""Transportation""",17,4759558494,2012,
"""Instruments""",18,2899025607,2012,
"""Weapons""",19,38930217.76,2012,
"""Miscellaneous""",20,478822503.2,2012,
"""Arts and Antiques""",21,89613931.58,2012,
"""Animal Products""",1,12970252509,2013,
"""Vegetable Products""",2,14265814117,2013,
"""Animal and Vegetable Bi-Products""",3,549071918,2013,
"""Foodstuffs""",4,6372795824,2013,
"""Mineral Products""",5,1.49E+11,2013,
"""Chemical Products""",6,11656862902,2013,
"""Plastics and Rubbers""",7,1310387667,2013,
