Section,Section ID,Trade Value,Year,Country,,,,,,,,,,
"""Animal Products""",1,1825449888,2010,,,,,,,,,,,
"""Vegetable Products""",2,1653313785,2010,,,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,507686886,2010,,,,,,,,,,,
"""Foodstuffs""",4,6254728412,2010,,,,,,,,,,,
"""Mineral Products""",5,23738020886,2010,,,,,,,,,,,
"""Chemical Products""",6,17208125096,2010,,,,,,,,,,,
"""Plastics and Rubbers""",7,7295813953,2010,,,,,,,,,,,
"""Animal Hides""",8,885131912.4,2010,,,,,,,,,,,
"""Wood Products""",9,1308008342,2010,,,,,,,,,,,
"""Paper Goods""",10,3426310266,2010,,,,,,,,,,,
"""Textiles""",11,6831129256,2010,,,,,,,,,,,
"""Footwear and Headwear""",12,1398298104,2010,,,,,,,,,,,
"""Stone And Glass""",13,1637980404,2010,,,,,,,,,,,
"""Precious Metals""",14,8157165931,2010,,,,,,,,,,,
"""Metals""",15,10037675386,2010,,,,,,,,,,,
"""Machines""",16,46925010050,2010,,,,,,,,,,,
"""Transportation""",17,29219724158,2010,,,,,,,,,,,
"""Instruments""",18,6457135207,2010,,,,,,,,,,,
"""Weapons""",19,156602909.7,2010,,,,,,,,,,,
"""Miscellaneous""",20,5543042522,2010,,,,,,,,,,,
"""Arts and Antiques""",21,101413386.8,2010,,,,,,,,,,,
"""Animal Products""",1,2110934530,2011,,,,,,,,,,,
"""Vegetable Products""",2,2162360468,2011,,,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,597729310.7,2011,,,,,,,,,,,
"""Foodstuffs""",4,7683665026,2011,,,,,,,,,,,
"""Mineral Products""",5,36285236353,2011,,,,,,,,,,,
"""Chemical Products""",6,21794814255,2011,,,,,,,,,,,
"""Plastics and Rubbers""",7,9330739456,2011,,,,,,,,,,,
"""Animal Hides""",8,1136643402,2011,,,,,,,,,,,
"""Wood Products""",9,1487362201,2011,,,,,,,,,,,
"""Paper Goods""",10,3580779678,2011,,,,,,,,,,,
"""Textiles""",11,8164987704,2011,,,,,,,,,,,
"""Footwear and Headwear""",12,1593565711,2011,,,,,,,,,,,
"""Stone And Glass""",13,1844473317,2011,,,,,,,,,,,
"""Precious Metals""",14,12039851087,2011,,,,,,,,,,,
"""Metals""",15,12273062954,2011,,,,,,,,,,,
"""Machines""",16,57629348711,2011,,,,,,,,,,,
"""Transportation""",17,33019044722,2011,,,,,,,,,,,
"""Instruments""",18,8089718489,2011,,,,,,,,,,,
"""Weapons""",19,490559842,2011,,,,,,,,,,,
"""Miscellaneous""",20,6558045362,2011,,,,,,,,,,,
"""Arts and Antiques""",21,136531364.2,2011,,,,,,,,,,,
