Section,Section ID,Trade Value,Year
"""Animal Products""",1,385672.18004400004,2010
"""Vegetable Products""",2,1916469.2023284,2010
"""Foodstuffs""",4,706371.6060551001,2010
"""Mineral Products""",5,7930023876.693725,2010
"""Chemical Products""",6,92095659.02015892,2010
"""Plastics and Rubbers""",7,2397442.5784951,2010
"""Animal Hides""",8,232072.252055,2010
"""Wood Products""",9,2169516.690026,2010
"""Paper Goods""",10,2713252.5780299995,2010
"""Textiles""",11,11355186.035397,2010
"""Footwear and Headwear""",12,44700.0,2010
"""Stone And Glass""",13,325535.2561257001,2010
"""Precious Metals""",14,50778010.0,2010
"""Metals""",15,21398675.2863419,2010
"""Machines""",16,23879667.0,2010
"""Transportation""",17,3229117.3104451997,2010
"""Instruments""",18,5304428.0,2010
"""Miscellaneous""",20,539581.5430471001,2010
"""Arts and Antiques""",21,1325.0,2010
"""Animal Products""",1,739175.4042791,2011
"""Vegetable Products""",2,5257384.899065999,2011
"""Foodstuffs""",4,384944.0866293,2011
"""Mineral Products""",5,10890953534.06636,2011
"""Chemical Products""",6,169262424.5839637,2011
"""Plastics and Rubbers""",7,1524371.2108558998,2011
"""Animal Hides""",8,204870.13757700002,2011
"""Wood Products""",9,1283542.5522728001,2011
"""Paper Goods""",10,4706315.7875273,2011
"""Textiles""",11,12254966.4018507,2011
"""Footwear and Headwear""",12,36145.0,2011
"""Stone And Glass""",13,409440.96081529994,2011
"""Precious Metals""",14,72691372.0,2011
"""Metals""",15,28949329.276324496,2011
"""Machines""",16,33113478.03558,2011
"""Transportation""",17,1749457.1458807,2011
"""Instruments""",18,6189434.0,2011
"""Weapons""",19,2139.0000000000005,2011
"""Miscellaneous""",20,758667.3971436999,2011
"""Arts and Antiques""",21,5698.999999999999,2011
"""Animal Products""",1,1806715.9208579,2012
"""Vegetable Products""",2,2777416.4923227997,2012
"""Animal and Vegetable Bi-Products""",3,31836.8958711,2012
"""Foodstuffs""",4,4430428.392830101,2012
"""Mineral Products""",5,12462724698.885824,2012
"""Chemical Products""",6,189803338.27764907,2012
"""Plastics and Rubbers""",7,7912092.282391399,2012
"""Animal Hides""",8,388606.55143469997,2012
"""Wood Products""",9,1300689.4980277,2012
"""Paper Goods""",10,4720450.727388799,2012
"""Textiles""",11,14881522.083193399,2012
"""Footwear and Headwear""",12,391814.3945716,2012
"""Stone And Glass""",13,2981015.0852876,2012
"""Precious Metals""",14,126054191.7081254,2012
"""Metals""",15,52174293.09964411,2012
"""Machines""",16,75509330.52817929,2012
"""Transportation""",17,16948200.5442072,2012
"""Instruments""",18,19723822.195107196,2012
"""Miscellaneous""",20,2159364.4823565003,2012
"""Arts and Antiques""",21,14738.9673918,2012
"""Animal Products""",1,6666378.878201701,2013
"""Vegetable Products""",2,4693402.5409273,2013
"""Animal and Vegetable Bi-Products""",3,602063.1612229999,2013
"""Foodstuffs""",4,10067446.7266865,2013
"""Mineral Products""",5,10739498796.975456,2013
"""Chemical Products""",6,103949918.15309368,2013
"""Plastics and Rubbers""",7,8278428.2929342,2013
"""Animal Hides""",8,802084.5184830001,2013
"""Wood Products""",9,1443245.9959029998,2013
"""Paper Goods""",10,5603416.1701887995,2013
"""Textiles""",11,14486698.253485698,2013
"""Footwear and Headwear""",12,582177.5687714999,2013
"""Stone And Glass""",13,2678858.012116,2013
"""Precious Metals""",14,76015569.691221,2013
"""Metals""",15,56401412.8464603,2013
"""Machines""",16,62237556.93459522,2013
"""Transportation""",17,13206797.999930698,2013
"""Instruments""",18,28058544.834501598,2013
"""Miscellaneous""",20,2798869.2751362,2013
"""Arts and Antiques""",21,210758.4422885,2013
"""Animal Products""",1,8749655.435060998,2014
"""Vegetable Products""",2,8861508.367365101,2014
"""Animal and Vegetable Bi-Products""",3,838600.2815446001,2014
"""Foodstuffs""",4,13898116.9654376,2014
"""Mineral Products""",5,9747090383.3234,2014
"""Chemical Products""",6,484603272.5322031,2014
"""Plastics and Rubbers""",7,7711963.7144337995,2014
"""Animal Hides""",8,1683273.6242771999,2014
"""Wood Products""",9,3191788.9083689,2014
"""Paper Goods""",10,5567130.5521361,2014
"""Textiles""",11,12973993.506889502,2014
"""Footwear and Headwear""",12,264365.8259409,2014
"""Stone And Glass""",13,5519788.6132988995,2014
"""Precious Metals""",14,110154932.74148,2014
"""Metals""",15,58969907.31008769,2014
"""Machines""",16,109332332.34832822,2014
"""Transportation""",17,17225311.2897516,2014
"""Instruments""",18,23985542.130241204,2014
"""Miscellaneous""",20,1964627.5821094,2014
"""Arts and Antiques""",21,6855309.972800001,2014
