Section,Section ID,Trade Value,Year
"""Animal Products""",1,49510259.0,2010
"""Vegetable Products""",2,74527215.0,2010
"""Animal and Vegetable Bi-Products""",3,10366856.0,2010
"""Foodstuffs""",4,189528370.0,2010
"""Mineral Products""",5,148697218.0,2010
"""Chemical Products""",6,159126077.0,2010
"""Plastics and Rubbers""",7,90402373.0,2010
"""Animal Hides""",8,7198190.0,2010
"""Wood Products""",9,9727626.0,2010
"""Paper Goods""",10,39665987.0,2010
"""Textiles""",11,62665854.0,2010
"""Footwear and Headwear""",12,17664139.0,2010
"""Stone And Glass""",13,31559397.0,2010
"""Precious Metals""",14,167833279.0,2010
"""Metals""",15,233100430.0,2010
"""Machines""",16,527718967.0,2010
"""Transportation""",17,385936408.0,2010
"""Instruments""",18,99713167.0,2010
"""Weapons""",19,1382930.0,2010
"""Miscellaneous""",20,222216757.0,2010
"""Arts and Antiques""",21,21222304.0,2010
"""Animal Products""",1,60717592.0,2011
"""Vegetable Products""",2,88055879.0,2011
"""Animal and Vegetable Bi-Products""",3,13139049.0,2011
"""Foodstuffs""",4,208946069.0,2011
"""Mineral Products""",5,306611174.0,2011
"""Chemical Products""",6,166247089.0,2011
"""Plastics and Rubbers""",7,105971193.0,2011
"""Animal Hides""",8,9637703.0,2011
"""Wood Products""",9,35830765.0,2011
"""Paper Goods""",10,42107963.0,2011
"""Textiles""",11,93948143.0,2011
"""Footwear and Headwear""",12,70348164.0,2011
"""Stone And Glass""",13,47906438.0,2011
"""Precious Metals""",14,31464036.0,2011
"""Metals""",15,340409282.0,2011
"""Machines""",16,720471004.0,2011
"""Transportation""",17,897600074.0,2011
"""Instruments""",18,89452306.0,2011
"""Weapons""",19,2518029.0,2011
"""Miscellaneous""",20,426975303.0,2011
"""Arts and Antiques""",21,361256.0,2011
"""Animal Products""",1,110542906.2259829,2012
"""Vegetable Products""",2,123875114.82930118,2012
"""Animal and Vegetable Bi-Products""",3,13989157.461984903,2012
"""Foodstuffs""",4,246995004.3456137,2012
"""Mineral Products""",5,410615102.78769374,2012
"""Chemical Products""",6,201770554.72202197,2012
"""Plastics and Rubbers""",7,121144908.90983343,2012
"""Animal Hides""",8,13528243.7096232,2012
"""Wood Products""",9,20277423.7304464,2012
"""Paper Goods""",10,60748577.6226887,2012
"""Textiles""",11,119666504.64434919,2012
"""Footwear and Headwear""",12,28142159.0794813,2012
"""Stone And Glass""",13,67961006.9782607,2012
"""Precious Metals""",14,1179932549.7110271,2012
"""Metals""",15,567411999.606603,2012
"""Machines""",16,637789185.8561603,2012
"""Transportation""",17,420054275.79693145,2012
"""Instruments""",18,89685627.618891,2012
