Section,Section ID,Trade Value,Year
"""Animal Products""",1,15427516.281559698,2010
"""Vegetable Products""",2,144512572.1724047,2010
"""Animal and Vegetable Bi-Products""",3,12484736.090819,2010
"""Foodstuffs""",4,45414339.6839481,2010
"""Mineral Products""",5,58891566.93500373,2010
"""Chemical Products""",6,4912396.565812999,2010
"""Plastics and Rubbers""",7,237339532.8473135,2010
"""Animal Hides""",8,3919584.4000443993,2010
"""Wood Products""",9,104166282.07928117,2010
"""Paper Goods""",10,1785739496.6703763,2010
"""Textiles""",11,5184160842.128798,2010
"""Footwear and Headwear""",12,652622990.3379365,2010
"""Stone And Glass""",13,433874.1798754,2010
"""Precious Metals""",14,66455916.933032006,2010
"""Metals""",15,81724504.73122391,2010
"""Machines""",16,158495666.80797836,2010
"""Transportation""",17,154364692.1782695,2010
"""Instruments""",18,5970834.929273001,2010
"""Weapons""",19,219470.0,2010
"""Miscellaneous""",20,10295786.608867701,2010
"""Arts and Antiques""",21,9346418.746672599,2010
"""Animal Products""",1,31787408.934684098,2011
"""Vegetable Products""",2,262597982.09242514,2011
"""Animal and Vegetable Bi-Products""",3,14231276.3859534,2011
"""Foodstuffs""",4,69273595.48831451,2011
"""Mineral Products""",5,84073931.9287919,2011
"""Chemical Products""",6,9787906.0284835,2011
"""Plastics and Rubbers""",7,397189856.17444897,2011
"""Animal Hides""",8,5117709.9582547,2011
"""Wood Products""",9,141016044.05252963,2011
"""Paper Goods""",10,1586748935.4550862,2011
"""Textiles""",11,6767832086.811014,2011
"""Footwear and Headwear""",12,946252138.8961091,2011
"""Stone And Glass""",13,433567.7984979,2011
"""Precious Metals""",14,70615243.94717611,2011
"""Metals""",15,106138596.861066,2011
"""Machines""",16,22539298.8332515,2011
"""Transportation""",17,334366050.0760951,2011
"""Instruments""",18,5195641.235551301,2011
"""Weapons""",19,822654.0,2011
"""Miscellaneous""",20,8843939.673679,2011
"""Arts and Antiques""",21,2359562.0647963,2011
"""Animal Products""",1,26989937.9458611,2012
"""Vegetable Products""",2,357855872.3657632,2012
"""Animal and Vegetable Bi-Products""",3,11703502.584478501,2012
"""Foodstuffs""",4,66072915.3833752,2012
"""Mineral Products""",5,62820811.4495937,2012
"""Chemical Products""",6,7713069.3406723,2012
"""Plastics and Rubbers""",7,339287148.8248357,2012
"""Animal Hides""",8,20464458.554403204,2012
"""Wood Products""",9,69942516.4823885,2012
"""Paper Goods""",10,1652574909.1697986,2012
"""Textiles""",11,7330083621.899575,2012
"""Footwear and Headwear""",12,1018113333.8747191,2012
"""Stone And Glass""",13,285931.7321577,2012
"""Precious Metals""",14,462561399.250974,2012
"""Metals""",15,88516919.0592363,2012
"""Machines""",16,87037366.037985,2012
"""Transportation""",17,335140130.55415666,2012
"""Instruments""",18,10575386.0556994,2012
"""Weapons""",19,617121.0,2012
"""Miscellaneous""",20,16883569.028598398,2012
"""Arts and Antiques""",21,2904671.6028442997,2012
"""Animal Products""",1,15419231.7274583,2013
"""Vegetable Products""",2,659609555.7409506,2013
"""Animal and Vegetable Bi-Products""",3,14720397.081883,2013
"""Foodstuffs""",4,171188229.60537902,2013
"""Mineral Products""",5,75920599.6293213,2013
"""Chemical Products""",6,14286733.768643899,2013
"""Plastics and Rubbers""",7,291809265.6820255,2013
"""Animal Hides""",8,37789167.497496106,2013
"""Wood Products""",9,213314375.86604127,2013
"""Paper Goods""",10,1539560010.8648472,2013
"""Textiles""",11,8553971312.294019,2013
"""Footwear and Headwear""",12,1214330406.385597,2013
"""Stone And Glass""",13,754502.9892018,2013
"""Precious Metals""",14,8291431.652559001,2013
"""Metals""",15,95855410.20250888,2013
"""Machines""",16,281043336.66824126,2013
"""Transportation""",17,490664645.85094035,2013
"""Instruments""",18,64689164.4899521,2013
"""Weapons""",19,500082.0,2013
"""Miscellaneous""",20,37987119.411658205,2013
"""Arts and Antiques""",21,648446.0695412,2013
"""Animal Products""",1,22091207.690905303,2014
"""Vegetable Products""",2,646759765.7987498,2014
"""Animal and Vegetable Bi-Products""",3,20428068.395528402,2014
"""Foodstuffs""",4,146808080.8705017,2014
"""Mineral Products""",5,133327858.89860652,2014
"""Chemical Products""",6,10365195.489371901,2014
"""Plastics and Rubbers""",7,264926786.73988873,2014
"""Animal Hides""",8,103969077.3122726,2014
"""Wood Products""",9,409616196.2630924,2014
"""Paper Goods""",10,15190793.687648699,2014
"""Textiles""",11,9780236489.153997,2014
"""Footwear and Headwear""",12,1529035532.1072142,2014
"""Stone And Glass""",13,1649595.9501935,2014
"""Precious Metals""",14,54790730.1301412,2014
"""Metals""",15,104915366.0644924,2014
"""Machines""",16,497119505.80757713,2014
"""Transportation""",17,432937065.5845493,2014
"""Instruments""",18,97684053.5081856,2014
"""Weapons""",19,21832.0,2014
"""Miscellaneous""",20,92079170.9904399,2014
"""Arts and Antiques""",21,38809289.9867141,2014
"""Animal Products""",1,15131924.1305602,2015
"""Vegetable Products""",2,935593714.4987552,2015
"""Animal and Vegetable Bi-Products""",3,17495369.3790323,2015
"""Foodstuffs""",4,135565726.101093,2015
"""Mineral Products""",5,50366243.96586438,2015
"""Chemical Products""",6,49266735.3317343,2015
"""Plastics and Rubbers""",7,260805017.61844054,2015
"""Animal Hides""",8,408973172.7127569,2015
"""Wood Products""",9,441167805.39767015,2015
"""Paper Goods""",10,19287069.3584886,2015
"""Textiles""",11,10413376478.524153,2015
"""Footwear and Headwear""",12,1910975082.2223482,2015
"""Stone And Glass""",13,2329921.9069514996,2015
"""Precious Metals""",14,47340775.53026539,2015
"""Metals""",15,97100912.07151113,2015
"""Machines""",16,629818646.7428411,2015
"""Transportation""",17,465294388.1374468,2015
"""Instruments""",18,109510668.78746368,2015
"""Weapons""",19,677130.9999999999,2015
"""Miscellaneous""",20,106669162.68768822,2015
"""Arts and Antiques""",21,727415.1301166,2015
"""Animal Products""",1,30956941.882706195,2016
"""Vegetable Products""",2,779741304.7054523,2016
"""Animal and Vegetable Bi-Products""",3,16306533.460556502,2016
"""Foodstuffs""",4,138226381.4735109,2016
"""Mineral Products""",5,44142392.240315214,2016
"""Chemical Products""",6,124580100.5886998,2016
"""Plastics and Rubbers""",7,309595188.1312758,2016
"""Animal Hides""",8,468039420.89750224,2016
"""Wood Products""",9,254642343.62809113,2016
"""Paper Goods""",10,19424512.0611722,2016
"""Textiles""",11,11157286752.268524,2016
"""Footwear and Headwear""",12,2166306805.77834,2016
"""Stone And Glass""",13,2974264.6053914,2016
"""Precious Metals""",14,1828024932.440662,2016
"""Metals""",15,124334464.3313806,2016
"""Machines""",16,540355853.1199306,2016
"""Transportation""",17,431427589.2297057,2016
"""Instruments""",18,125606063.18405469,2016
"""Weapons""",19,17282.0,2016
"""Miscellaneous""",20,133389246.90883088,2016
"""Arts and Antiques""",21,413463.0981411,2016
"""Animal Products""",1,11422501.027759,2017
"""Vegetable Products""",2,355147463.1114989,2017
"""Animal and Vegetable Bi-Products""",3,24010505.8715573,2017
"""Foodstuffs""",4,62099157.51260911,2017
"""Mineral Products""",5,18638598.8216433,2017
"""Chemical Products""",6,36861978.573710404,2017
"""Plastics and Rubbers""",7,221517372.02623183,2017
"""Animal Hides""",8,722765028.4786696,2017
"""Wood Products""",9,28905493.718130704,2017
"""Paper Goods""",10,10332624.4649502,2017
"""Textiles""",11,11074597174.481731,2017
"""Footwear and Headwear""",12,1949523664.113242,2017
"""Stone And Glass""",13,1360460.014556,2017
"""Precious Metals""",14,171775510.0,2017
"""Metals""",15,54553354.58624381,2017
"""Machines""",16,375658987.2076596,2017
"""Transportation""",17,414569251.05888504,2017
"""Instruments""",18,99363034.0,2017
"""Weapons""",19,37634.0,2017
"""Miscellaneous""",20,145612704.64993498,2017
"""Arts and Antiques""",21,489938.0,2017
"""Animal Products""",1,46251563.244830355,2018
"""Vegetable Products""",2,653748634.6886529,2018
"""Animal and Vegetable Bi-Products""",3,25926365.61171343,2018
"""Foodstuffs""",4,112881145.74669826,2018
"""Mineral Products""",5,31855723.775373816,2018
"""Chemical Products""",6,29528997.589800015,2018
"""Plastics and Rubbers""",7,311953360.43931544,2018
"""Animal Hides""",8,1136449654.1736655,2018
"""Wood Products""",9,65010907.09754425,2018
