Section,Section ID,Trade Value,Year
"""Animal Products""",1,88890544.29154989,2010
"""Vegetable Products""",2,78954297.9699757,2010
"""Animal and Vegetable Bi-Products""",3,59272665.3381348,2010
"""Foodstuffs""",4,859820885.3215132,2010
"""Mineral Products""",5,1237197797.0729072,2010
"""Chemical Products""",6,473353825.1494796,2010
"""Plastics and Rubbers""",7,344859295.85043496,2010
"""Animal Hides""",8,85628205.78949471,2010
"""Wood Products""",9,7085600.7749866005,2010
"""Paper Goods""",10,182025952.91120335,2010
"""Textiles""",11,2573978954.1442676,2010
"""Footwear and Headwear""",12,60329356.86643519,2010
"""Stone And Glass""",13,114157148.665869,2010
"""Precious Metals""",14,1633708524.0181062,2010
"""Metals""",15,528269913.7830514,2010
"""Machines""",16,922443902.1972854,2010
"""Transportation""",17,472088393.24911654,2010
"""Instruments""",18,58947079.1973965,2010
"""Weapons""",19,6970509.505238001,2010
"""Miscellaneous""",20,110579269.27486971,2010
"""Arts and Antiques""",21,5858458.038789,2010
"""Animal Products""",1,133641854.9539611,2011
"""Vegetable Products""",2,97243292.869969,2011
"""Animal and Vegetable Bi-Products""",3,91708933.28882232,2011
"""Foodstuffs""",4,1092294798.1218367,2011
"""Mineral Products""",5,1656571853.880873,2011
"""Chemical Products""",6,648144513.1582097,2011
"""Plastics and Rubbers""",7,401495270.6678088,2011
"""Animal Hides""",8,118370854.51446879,2011
"""Wood Products""",9,11887559.866112499,2011
"""Paper Goods""",10,216324977.84194154,2011
"""Textiles""",11,3330233833.7351494,2011
"""Footwear and Headwear""",12,57858775.49078721,2011
"""Stone And Glass""",13,136425862.9067018,2011
"""Precious Metals""",14,127487134.3044955,2011
"""Metals""",15,763624924.7258528,2011
"""Machines""",16,1556892772.0275297,2011
"""Transportation""",17,641474886.3433323,2011
"""Instruments""",18,81867036.09439811,2011
"""Weapons""",19,32352391.097907,2011
"""Miscellaneous""",20,161609296.92966223,2011
"""Arts and Antiques""",21,32817620.882646002,2011
"""Animal Products""",1,153558804.3247729,2012
"""Vegetable Products""",2,124970176.4971834,2012
"""Animal and Vegetable Bi-Products""",3,74490077.44732139,2012
"""Foodstuffs""",4,1368241080.9614508,2012
"""Mineral Products""",5,1827640003.8865993,2012
"""Chemical Products""",6,833695929.1210254,2012
"""Plastics and Rubbers""",7,518287716.8413342,2012
"""Animal Hides""",8,124719478.23076281,2012
"""Wood Products""",9,11239569.537895301,2012
"""Paper Goods""",10,238510933.79366988,2012
"""Textiles""",11,3298403182.1924753,2012
"""Footwear and Headwear""",12,76291378.4920055,2012
"""Stone And Glass""",13,164743860.56096798,2012
"""Precious Metals""",14,243250750.56559998,2012
"""Metals""",15,861027926.024424,2012
"""Machines""",16,1479946542.8933997,2012
"""Transportation""",17,876565369.5296023,2012
"""Instruments""",18,127358920.79774053,2012
"""Weapons""",19,4332085.531621,2012
"""Miscellaneous""",20,175508762.83893508,2012
"""Arts and Antiques""",21,3226186.7843187,2012
"""Animal Products""",1,139009836.3871065,2013
"""Vegetable Products""",2,136844270.5142897,2013
"""Animal and Vegetable Bi-Products""",3,126677893.36612862,2013
"""Foodstuffs""",4,1495912133.095721,2013
"""Mineral Products""",5,1872826411.4691193,2013
"""Chemical Products""",6,898898754.4337184,2013
"""Plastics and Rubbers""",7,623485068.6265528,2013
"""Animal Hides""",8,151653769.0961101,2013
"""Wood Products""",9,14289998.9233345,2013
"""Paper Goods""",10,1247926418.3517318,2013
"""Textiles""",11,3863375332.699019,2013
"""Footwear and Headwear""",12,90353418.31791331,2013
"""Stone And Glass""",13,188597146.0907333,2013
"""Precious Metals""",14,292849638.7611047,2013
"""Metals""",15,897189272.0014611,2013
"""Machines""",16,1866052855.6078093,2013
"""Transportation""",17,1231247550.032747,2013
"""Instruments""",18,175568472.41634947,2013
"""Weapons""",19,14638086.501270998,2013
"""Miscellaneous""",20,210952921.06071478,2013
"""Arts and Antiques""",21,59254.8823934,2013
"""Animal Products""",1,144435816.4618139,2014
"""Vegetable Products""",2,125377751.54492012,2014
"""Animal and Vegetable Bi-Products""",3,90433354.1281745,2014
"""Foodstuffs""",4,1494582181.6150308,2014
"""Mineral Products""",5,1720659798.3632257,2014
"""Chemical Products""",6,893934819.3259549,2014
"""Plastics and Rubbers""",7,659519351.3597167,2014
"""Animal Hides""",8,199724499.6500017,2014
"""Wood Products""",9,28000569.470571402,2014
"""Paper Goods""",10,415064662.7417969,2014
"""Textiles""",11,4117744565.156084,2014
"""Footwear and Headwear""",12,136584779.8369163,2014
"""Stone And Glass""",13,229801962.05168495,2014
"""Precious Metals""",14,518122432.86508954,2014
"""Metals""",15,981172555.19683,2014
"""Machines""",16,2111771112.5611434,2014
"""Transportation""",17,1114170864.134369,2014
"""Instruments""",18,112336536.13751328,2014
"""Weapons""",19,1485034.9999999998,2014
"""Miscellaneous""",20,240491650.64341867,2014
"""Arts and Antiques""",21,11220281.748705901,2014
"""Animal Products""",1,163954694.43246678,2015
"""Vegetable Products""",2,134173443.29462288,2015
"""Animal and Vegetable Bi-Products""",3,68477888.04376462,2015
"""Foodstuffs""",4,1485180628.792343,2015
"""Mineral Products""",5,1340050180.9199605,2015
"""Chemical Products""",6,905559951.2828252,2015
"""Plastics and Rubbers""",7,668184615.2516699,2015
"""Animal Hides""",8,372856240.6858127,2015
"""Wood Products""",9,29170327.74754961,2015
"""Paper Goods""",10,354046443.02562666,2015
"""Textiles""",11,3820023032.993516,2015
"""Footwear and Headwear""",12,148737458.8289336,2015
"""Stone And Glass""",13,278455949.7608634,2015
"""Precious Metals""",14,1044727028.3192762,2015
"""Metals""",15,904348810.7900863,2015
"""Machines""",16,2118362280.6144576,2015
"""Transportation""",17,1362801888.5873466,2015
"""Instruments""",18,149452623.11425325,2015
"""Weapons""",19,39608552.895386994,2015
"""Miscellaneous""",20,248173794.9583003,2015
"""Arts and Antiques""",21,2493761.9167659,2015
"""Animal Products""",1,151074340.1472586,2016
"""Vegetable Products""",2,130073578.104746,2016
"""Animal and Vegetable Bi-Products""",3,67473173.3574873,2016
"""Foodstuffs""",4,1617534084.8990352,2016
"""Mineral Products""",5,1702815522.7161531,2016
"""Chemical Products""",6,856625913.7424998,2016
"""Plastics and Rubbers""",7,675823930.1983931,2016
"""Animal Hides""",8,376734124.9727217,2016
"""Wood Products""",9,71082987.47910412,2016
"""Paper Goods""",10,353712085.67650056,2016
"""Textiles""",11,3748290810.5119066,2016
"""Footwear and Headwear""",12,145969351.1333969,2016
"""Stone And Glass""",13,274405464.24551636,2016
"""Precious Metals""",14,2361977752.611059,2016
"""Metals""",15,928634583.9148371,2016
"""Machines""",16,1998783804.5962572,2016
"""Transportation""",17,1242070969.9207864,2016
"""Instruments""",18,112660896.76209186,2016
"""Weapons""",19,111626.0686618,2016
"""Miscellaneous""",20,229710300.7295565,2016
"""Arts and Antiques""",21,262910.6264691,2016
"""Animal Products""",1,76736599.0,2017
"""Vegetable Products""",2,73915612.0,2017
"""Animal and Vegetable Bi-Products""",3,7901197.0,2017
"""Foodstuffs""",4,704643868.0,2017
"""Mineral Products""",5,554292747.0,2017
"""Chemical Products""",6,392045040.0,2017
"""Plastics and Rubbers""",7,261943657.0,2017
"""Animal Hides""",8,386307334.0,2017
"""Wood Products""",9,92893667.0,2017
"""Paper Goods""",10,194439685.0,2017
"""Textiles""",11,3712409633.0,2017
"""Footwear and Headwear""",12,93807122.0,2017
"""Stone And Glass""",13,191172224.0,2017
"""Precious Metals""",14,2157847129.0,2017
"""Metals""",15,435284172.0,2017
"""Machines""",16,1483013372.0,2017
"""Transportation""",17,881095507.0,2017
"""Instruments""",18,86185063.0,2017
"""Weapons""",19,270998.0,2017
"""Miscellaneous""",20,193153986.0,2017
"""Arts and Antiques""",21,141968.0,2017
"""Animal Products""",1,271921860.0,2018
"""Vegetable Products""",2,116318439.0,2018
"""Animal and Vegetable Bi-Products""",3,28378628.0,2018
"""Foodstuffs""",4,1797312764.0,2018
"""Mineral Products""",5,2382303890.0,2018
"""Chemical Products""",6,940344611.0,2018
"""Plastics and Rubbers""",7,713268864.0,2018
"""Animal Hides""",8,520015854.0,2018
"""Wood Products""",9,140004568.0,2018
"""Paper Goods""",10,378214140.0,2018
"""Textiles""",11,4840297047.0,2018
"""Footwear and Headwear""",12,156326762.0,2018
"""Stone And Glass""",13,342625135.0,2018
"""Precious Metals""",14,5785337237.0,2018
"""Metals""",15,851301921.0,2018
"""Machines""",16,2670630716.0,2018
"""Transportation""",17,1582022652.0,2018
"""Instruments""",18,164192128.0,2018
"""Weapons""",19,862980.0,2018
"""Miscellaneous""",20,307983911.0,2018
"""Arts and Antiques""",21,911198.0,2018
