Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,11690028623,2010,
"""Vegetable Products""",2,15630896941,2010,
"""Animal and Vegetable Bi-Products""",3,396400840.3,2010,
"""Foodstuffs""",4,18537918318,2010,
"""Mineral Products""",5,25100051319,2010,
"""Chemical Products""",6,79208238059,2010,
"""Plastics and Rubbers""",7,58679299267,2010,
"""Animal Hides""",8,25825836078,2010,
"""Wood Products""",9,12410844778,2010,
"""Paper Goods""",10,17058482086,2010,
"""Textiles""",11,2.10E+11,2010,
"""Footwear and Headwear""",12,55443961961,2010,
"""Stone And Glass""",13,28028550695,2010,
"""Precious Metals""",14,11177191863,2010,
"""Metals""",15,1.21E+11,2010,
"""Machines""",16,8.49E+11,2010,
"""Transportation""",17,61010729853,2010,
"""Instruments""",18,56013449760,2010,
"""Weapons""",19,336486349.4,2010,
"""Miscellaneous""",20,1.31E+11,2010,
"""Arts and Antiques""",21,506302499.8,2010,
"""Animal Products""",1,14440463640,2011,
"""Vegetable Products""",2,17746318269,2011,
"""Animal and Vegetable Bi-Products""",3,662740855.7,2011,
"""Foodstuffs""",4,22480981595,2011,
"""Mineral Products""",5,28850896910,2011,
"""Chemical Products""",6,1.03E+11,2011,
"""Plastics and Rubbers""",7,73254274446,2011,
"""Animal Hides""",8,30258721419,2011,
"""Wood Products""",9,14149006174,2011,
"""Paper Goods""",10,19829805934,2011,
"""Textiles""",11,2.42E+11,2011,
"""Footwear and Headwear""",12,60197088429,2011,
"""Stone And Glass""",13,31647665665,2011,
"""Precious Metals""",14,18229905033,2011,
"""Metals""",15,1.51E+11,2011,
"""Machines""",16,9.66E+11,2011,
"""Transportation""",17,82735798084,2011,
"""Instruments""",18,62193007587,2011,
"""Weapons""",19,358522261.5,2011,
"""Miscellaneous""",20,1.37E+11,2011,
"""Arts and Antiques""",21,696828647.4,2011,
"""Animal Products""",1,14181376300,2012,
"""Vegetable Products""",2,17764281404,2012,
"""Animal and Vegetable Bi-Products""",3,657930794.2,2012,
"""Foodstuffs""",4,24381360060,2012,
"""Mineral Products""",5,25282454054,2012,
"""Chemical Products""",6,99742155224,2012,
"""Plastics and Rubbers""",7,79184957347,2012,
"""Animal Hides""",8,32357073968,2012,
"""Wood Products""",9,14602470205,2012,
"""Paper Goods""",10,20779747130,2012,
"""Textiles""",11,2.35E+11,2012,
"""Footwear and Headwear""",12,62089525945,2012,
"""Stone And Glass""",13,34057698969,2012,
"""Precious Metals""",14,29343005820,2012,
"""Metals""",15,1.52E+11,2012,
"""Machines""",16,1.02E+12,2012,
"""Transportation""",17,67692799814,2012,
"""Instruments""",18,70030339665,2012,
"""Weapons""",19,423330189.7,2012,
"""Miscellaneous""",20,1.43E+11,2012,
"""Arts and Antiques""",21,821488940.5,2012,
"""Animal Products""",1,15023918536,2013,
"""Vegetable Products""",2,18512765826,2013,
"""Animal and Vegetable Bi-Products""",3,587572609.5,2013,
"""Foodstuffs""",4,24473658213,2013,
"""Mineral Products""",5,27337458454,2013,
"""Chemical Products""",6,1.03E+11,2013,
"""Plastics and Rubbers""",7,85941225695,2013,
"""Animal Hides""",8,34345378385,2013,
"""Wood Products""",9,14785384045,2013,
"""Paper Goods""",10,22372939916,2013,
"""Textiles""",11,2.43E+11,2013,
"""Footwear and Headwear""",12,66450319285,2013,
"""Stone And Glass""",13,37098729466,2013,
"""Precious Metals""",14,31957371516,2013,
"""Metals""",15,1.60E+11,2013,
"""Machines""",16,1.07E+12,2013,
"""Transportation""",17,70453746112,2013,
"""Instruments""",18,72090677190,2013,
"""Weapons""",19,395843658.7,2013,
"""Miscellaneous""",20,1.47E+11,2013,
"""Arts and Antiques""",21,612178088.2,2013,
"""Animal Products""",1,15421389675,2014,
"""Vegetable Products""",2,18837917474,2014,
"""Animal and Vegetable Bi-Products""",3,637380666,2014,
"""Foodstuffs""",4,24842197987,2014,
"""Mineral Products""",5,28694043400,2014,
"""Chemical Products""",6,1.15E+11,2014,
"""Plastics and Rubbers""",7,94237565926,2014,
"""Animal Hides""",8,32472094104,2014,
"""Wood Products""",9,16155446014,2014,
"""Paper Goods""",10,24777828231,2014,
"""Textiles""",11,2.56E+11,2014,
"""Footwear and Headwear""",12,70616628154,2014,
"""Stone And Glass""",13,40838694843,2014,
"""Precious Metals""",14,29362123858,2014,
"""Metals""",15,1.87E+11,2014,
"""Machines""",16,1.15E+12,2014,
"""Transportation""",17,79122338869,2014,
"""Instruments""",18,72992244617,2014,
"""Weapons""",19,379561596.4,2014,
"""Miscellaneous""",20,1.57E+11,2014,
"""Arts and Antiques""",21,764383357.7,2014,
"""Animal Products""",1,13977043263,2015,
"""Vegetable Products""",2,19058776280,2015,
"""Animal and Vegetable Bi-Products""",3,658758378.9,2015,
"""Foodstuffs""",4,23314522781,2015,
"""Mineral Products""",5,24462459448,2015,
"""Chemical Products""",6,1.12E+11,2015,
"""Plastics and Rubbers""",7,89361395040,2015,
"""Animal Hides""",8,31338539226,2015,
"""Wood Products""",9,15759760019,2015,
"""Paper Goods""",10,24167027925,2015,
"""Textiles""",11,2.42E+11,2015,
"""Footwear and Headwear""",12,68073010560,2015,
"""Stone And Glass""",13,41137896519,2015,
"""Precious Metals""",14,18914315821,2015,
"""Metals""",15,1.81E+11,2015,
"""Machines""",16,1.10E+12,2015,
"""Transportation""",17,83830830121,2015,
"""Instruments""",18,72991267881,2015,
"""Weapons""",19,494397983.1,2015,
"""Miscellaneous""",20,1.51E+11,2015,
"""Arts and Antiques""",21,657601918.6,2015,
"""Animal Products""",1,14031088044,2016,
"""Vegetable Products""",2,20286433220,2016,
"""Animal and Vegetable Bi-Products""",3,579270526.4,2016,
"""Foodstuffs""",4,24128052965,2016,
"""Mineral Products""",5,24266495588,2016,
"""Chemical Products""",6,1.06E+11,2016,
"""Plastics and Rubbers""",7,87621310754,2016,
"""Animal Hides""",8,27126399407,2016,
"""Wood Products""",9,14740253568,2016,
"""Paper Goods""",10,23969834790,2016,
"""Textiles""",11,2.27E+11,2016,
"""Footwear and Headwear""",12,61017982575,2016,
"""Stone And Glass""",13,37497180619,2016,
"""Precious Metals""",14,14368586733,2016,
"""Metals""",15,1.62E+11,2016,
"""Machines""",16,1.04E+12,2016,
"""Transportation""",17,77505661479,2016,
"""Instruments""",18,72382646494,2016,
"""Weapons""",19,337132222.5,2016,
"""Miscellaneous""",20,1.47E+11,2016,
"""Arts and Antiques""",21,530731509.5,2016,
"""Animal Products""",1,15595510296,2017,
"""Vegetable Products""",2,23770023857,2017,
"""Animal and Vegetable Bi-Products""",3,693148158.7,2017,
"""Foodstuffs""",4,26731840784,2017,
"""Mineral Products""",5,32302118121,2017,
"""Chemical Products""",6,1.18E+11,2017,
"""Plastics and Rubbers""",7,96431277162,2017,
"""Animal Hides""",8,29982952111,2017,
"""Wood Products""",9,14666733415,2017,
"""Paper Goods""",10,24365071239,2017,
"""Textiles""",11,2.39E+11,2017,
"""Footwear and Headwear""",12,63097360469,2017,
"""Stone And Glass""",13,40885774934,2017,
"""Precious Metals""",14,11003500379,2017,
"""Metals""",15,1.71E+11,2017,
"""Machines""",16,1.16E+12,2017,
"""Transportation""",17,78074380314,2017,
"""Instruments""",18,77142538597,2017,
"""Weapons""",19,344591004.2,2017,
"""Miscellaneous""",20,1.76E+11,2017,
"""Arts and Antiques""",21,227872816.7,2017,
"""Animal Products""",1,15247507663,2018,
"""Vegetable Products""",2,24406355097,2018,
"""Animal and Vegetable Bi-Products""",3,1039692295,2018,
"""Foodstuffs""",4,28003830348,2018,
"""Mineral Products""",5,41222655491,2018,
"""Chemical Products""",6,1.47E+11,2018,
"""Plastics and Rubbers""",7,1.09E+11,2018,
"""Animal Hides""",8,32019371195,2018,
"""Wood Products""",9,15813018166,2018,
"""Paper Goods""",10,26643298754,2018,
"""Textiles""",11,2.50E+11,2018,
"""Footwear and Headwear""",12,64409155161,2018,
"""Stone And Glass""",13,44476952718,2018,
