Section,Section ID,Trade Value,Year,Country,,,,,,
"""Animal Products""",1,2079500714,2010,,,,,,,
"""Vegetable Products""",2,5275054609,2010,,,,,,,
"""Animal and Vegetable Bi-Products""",3,226618067.2,2010,,,,,,,
"""Foodstuffs""",4,4664697037,2010,,,,,,,
"""Mineral Products""",5,28048324455,2010,,,,,,,
"""Chemical Products""",6,12382293283,2010,,,,,,,
"""Plastics and Rubbers""",7,6506989221,2010,,,,,,,
"""Animal Hides""",8,525676079.3,2010,,,,,,,
"""Wood Products""",9,326435262.6,2010,,,,,,,
"""Paper Goods""",10,2687813686,2010,,,,,,,
"""Textiles""",11,6330658556,2010,,,,,,,
"""Footwear and Headwear""",12,306634977.4,2010,,,,,,,
"""Stone And Glass""",13,725351699.7,2010,,,,,,,
"""Precious Metals""",14,174597300.4,2010,,,,,,,
"""Metals""",15,13415511859,2010,,,,,,,
"""Machines""",16,36271856004,2010,,,,,,,
"""Transportation""",17,11908325830,2010,,,,,,,
"""Instruments""",18,2081274183,2010,,,,,,,
"""Weapons""",19,168032485.9,2010,,,,,,,
"""Miscellaneous""",20,912284248.7,2010,,,,,,,
"""Arts and Antiques""",21,4906467.512,2010,,,,,,,
"""Animal Products""",1,2206957410,2011,,,,,,,
"""Vegetable Products""",2,8182914483,2011,,,,,,,
"""Animal and Vegetable Bi-Products""",3,237079114.6,2011,,,,,,,
"""Foodstuffs""",4,5825074169,2011,,,,,,,
"""Mineral Products""",5,42054260002,2011,,,,,,,
"""Chemical Products""",6,16003845062,2011,,,,,,,
"""Plastics and Rubbers""",7,9046069292,2011,,,,,,,
"""Animal Hides""",8,645158161.9,2011,,,,,,,
"""Wood Products""",9,427673129.5,2011,,,,,,,
"""Paper Goods""",10,3208159404,2011,,,,,,,
"""Textiles""",11,8395918058,2011,,,,,,,
"""Footwear and Headwear""",12,418197586.1,2011,,,,,,,
"""Stone And Glass""",13,886072711,2011,,,,,,,
"""Precious Metals""",14,250940175,2011,,,,,,,
"""Metals""",15,16749670812,2011,,,,,,,
"""Machines""",16,42612103806,2011,,,,,,,
"""Transportation""",17,13809497560,2011,,,,,,,
"""Instruments""",18,2366371889,2011,,,,,,,
"""Weapons""",19,81313038.53,2011,,,,,,,
"""Miscellaneous""",20,1110634370,2011,,,,,,,
"""Arts and Antiques""",21,6316137.853,2011,,,,,,,
"""Animal Products""",1,1992859123,2012,,,,,,,
"""Vegetable Products""",2,7200479819,2012,,,,,,,
"""Animal and Vegetable Bi-Products""",3,236279288.8,2012,,,,,,,
"""Foodstuffs""",4,6842916046,2012,,,,,,,
"""Mineral Products""",5,42646594446,2012,,,,,,,
"""Chemical Products""",6,16746055481,2012,,,,,,,
"""Plastics and Rubbers""",7,9657081141,2012,,,,,,,
"""Animal Hides""",8,671432426.8,2012,,,,,,,
"""Wood Products""",9,440436474.3,2012,,,,,,,
"""Paper Goods""",10,3057992226,2012,,,,,,,
"""Textiles""",11,8130267351,2012,,,,,,,
"""Footwear and Headwear""",12,477688893.7,2012,,,,,,,
"""Stone And Glass""",13,1175265905,2012,,,,,,,
"""Precious Metals""",14,164418597.9,2012,,,,,,,
"""Metals""",15,19525735843,2012,,,,,,,
"""Machines""",16,46741900305,2012,,,,,,,
"""Transportation""",17,17184189910,2012,,,,,,,
"""Instruments""",18,2730204077,2012,,,,,,,
"""Weapons""",19,129305599.2,2012,,,,,,,
"""Miscellaneous""",20,1345960100,2012,,,,,,,
"""Arts and Antiques""",21,8731518.406,2012,,,,,,,
"""Animal Products""",1,2333601011,2013,,,,,,,
"""Vegetable Products""",2,6667992017,2013,,,,,,,
"""Animal and Vegetable Bi-Products""",3,300847089,2013,,,,,,,
"""Foodstuffs""",4,7112219693,2013,,,,,,,
"""Mineral Products""",5,47016232647,2013,,,,,,,
"""Chemical Products""",6,16617991248,2013,,,,,,,
"""Plastics and Rubbers""",7,9984089741,2013,,,,,,,
"""Animal Hides""",8,820582299.3,2013,,,,,,,
"""Wood Products""",9,414100360.1,2013,,,,,,,
"""Paper Goods""",10,3180772970,2013,,,,,,,
"""Textiles""",11,8514745194,2013,,,,,,,
"""Footwear and Headwear""",12,573913439.4,2013,,,,,,,
"""Stone And Glass""",13,1113229847,2013,,,,,,,
"""Precious Metals""",14,315780926.7,2013,,,,,,,
"""Metals""",15,18379045645,2013,,,,,,,
"""Machines""",16,44963164350,2013,,,,,,,
"""Transportation""",17,12578383054,2013,,,,,,,
"""Instruments""",18,2938287765,2013,,,,,,,
"""Weapons""",19,158422475.1,2013,,,,,,,
"""Miscellaneous""",20,1658986486,2013,,,,,,,
"""Arts and Antiques""",21,4993928.605,2013,,,,,,,
"""Animal Products""",1,2975619425,2014,,,,,,,
"""Vegetable Products""",2,6755097894,2014,,,,,,,
"""Animal and Vegetable Bi-Products""",3,209423917.9,2014,,,,,,,
"""Foodstuffs""",4,7006877609,2014,,,,,,,
"""Mineral Products""",5,44571150380,2014,,,,,,,
"""Chemical Products""",6,16747089730,2014,,,,,,,
"""Plastics and Rubbers""",7,9885957171,2014,,,,,,,
"""Animal Hides""",8,747705485,2014,,,,,,,
"""Wood Products""",9,394513024.5,2014,,,,,,,
"""Paper Goods""",10,3286510167,2014,,,,,,,
"""Textiles""",11,8816505969,2014,,,,,,,
"""Footwear and Headwear""",12,610836494.6,2014,,,,,,,
"""Stone And Glass""",13,1209057937,2014,,,,,,,
"""Precious Metals""",14,127628181.6,2014,,,,,,,
"""Metals""",15,16985462848,2014,,,,,,,
"""Machines""",16,42869252145,2014,,,,,,,
"""Transportation""",17,10498578784,2014,,,,,,,
"""Instruments""",18,2636862306,2014,,,,,,,
"""Weapons""",19,525903128.4,2014,,,,,,,
"""Miscellaneous""",20,1473263899,2014,,,,,,,
"""Arts and Antiques""",21,5039358.916,2014,,,,,,,
"""Animal Products""",1,2131865491,2015,,,,,,,
"""Vegetable Products""",2,5988416138,2015,,,,,,,
"""Animal and Vegetable Bi-Products""",3,169623552.5,2015,,,,,,,
"""Foodstuffs""",4,5980808478,2015,,,,,,,
"""Mineral Products""",5,25301179547,2015,,,,,,,
"""Chemical Products""",6,14792900917,2015,,,,,,,
"""Plastics and Rubbers""",7,8469277369,2015,,,,,,,
"""Animal Hides""",8,679753456.1,2015,,,,,,,
"""Wood Products""",9,406025532.2,2015,,,,,,,
"""Paper Goods""",10,2747451107,2015,,,,,,,
"""Textiles""",11,7908923554,2015,,,,,,,
"""Footwear and Headwear""",12,586643301.3,2015,,,,,,,
"""Stone And Glass""",13,1168227561,2015,,,,,,,
"""Precious Metals""",14,843104140.4,2015,,,,,,,
"""Metals""",15,14014769145,2015,,,,,,,
"""Machines""",16,37657387699,2015,,,,,,,
"""Transportation""",17,9618335963,2015,,,,,,,
"""Instruments""",18,2545255085,2015,,,,,,,
"""Weapons""",19,318858706.9,2015,,,,,,,
"""Miscellaneous""",20,1382481696,2015,,,,,,,
"""Arts and Antiques""",21,4985151.528,2015,,,,,,,
"""Animal Products""",1,2417253150,2016,,,,,,,
"""Vegetable Products""",2,6280944976,2016,,,,,,,
"""Animal and Vegetable Bi-Products""",3,200974205.8,2016,,,,,,,
"""Foodstuffs""",4,6842573367,2016,,,,,,,
"""Mineral Products""",5,19236805656,2016,,,,,,,
"""Chemical Products""",6,13177222349,2016,,,,,,,
"""Plastics and Rubbers""",7,8307165100,2016,,,,,,,
"""Animal Hides""",8,705854947.5,2016,,,,,,,
"""Wood Products""",9,390692621,2016,,,,,,,
"""Paper Goods""",10,2768368988,2016,,,,,,,
"""Textiles""",11,8171016755,2016,,,,,,,
"""Footwear and Headwear""",12,572385025.9,2016,,,,,,,
