Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,1896409507,2010,
"""Vegetable Products""",2,636340759.7,2010,
"""Animal and Vegetable Bi-Products""",3,153622712.3,2010,
"""Foodstuffs""",4,2595026806,2010,
"""Mineral Products""",5,13950248863,2010,
"""Chemical Products""",6,63486235593,2010,
"""Plastics and Rubbers""",7,45886129076,2010,
"""Animal Hides""",8,367521968.6,2010,
"""Wood Products""",9,129563372.2,2010,
"""Paper Goods""",10,5632099783,2010,
"""Textiles""",11,9038707406,2010,
"""Footwear and Headwear""",12,263478479.5,2010,
"""Stone And Glass""",13,9516016976,2010,
"""Precious Metals""",14,12298992115,2010,
"""Metals""",15,76316004390,2010,
"""Machines""",16,3.19E+11,2010,
"""Transportation""",17,1.70E+11,2010,
"""Instruments""",18,47476144235,2010,
"""Weapons""",19,99942760.72,2010,
"""Miscellaneous""",20,7130077173,2010,
"""Arts and Antiques""",21,262537331.9,2010,
"""Animal Products""",1,1656291795,2011,
"""Vegetable Products""",2,1545143798,2011,
"""Animal and Vegetable Bi-Products""",3,199015527.6,2011,
"""Foodstuffs""",4,2807706706,2011,
"""Mineral Products""",5,17595758412,2011,
"""Chemical Products""",6,69096861298,2011,
"""Plastics and Rubbers""",7,49967523740,2011,
"""Animal Hides""",8,564239941.1,2011,
"""Wood Products""",9,148794062.2,2011,
"""Paper Goods""",10,5571874180,2011,
"""Textiles""",11,10366216599,2011,
"""Footwear and Headwear""",12,254791576.6,2011,
"""Stone And Glass""",13,10101453473,2011,
"""Precious Metals""",14,16370924854,2011,
"""Metals""",15,82408111037,2011,
"""Machines""",16,3.44E+11,2011,
"""Transportation""",17,1.90E+11,2011,
"""Instruments""",18,52970628117,2011,
"""Weapons""",19,126545556.7,2011,
"""Miscellaneous""",20,7839768285,2011,
"""Arts and Antiques""",21,320457900.5,2011,
"""Animal Products""",1,1587262813,2012,
"""Vegetable Products""",2,658867948.6,2012,
"""Animal and Vegetable Bi-Products""",3,178723960.7,2012,
"""Foodstuffs""",4,2864518374,2012,
"""Mineral Products""",5,14704731263,2012,
"""Chemical Products""",6,65388923448,2012,
"""Plastics and Rubbers""",7,47926281664,2012,
"""Animal Hides""",8,436334411.7,2012,
"""Wood Products""",9,124725790.1,2012,
"""Paper Goods""",10,5318752006,2012,
"""Textiles""",11,10177987553,2012,
"""Footwear and Headwear""",12,232663393,2012,
"""Stone And Glass""",13,9765789867,2012,
"""Precious Metals""",14,14775675924,2012,
"""Metals""",15,81279954145,2012,
"""Machines""",16,3.12E+11,2012,
"""Transportation""",17,1.79E+11,2012,
"""Instruments""",18,55097764875,2012,
"""Weapons""",19,127861692.2,2012,
"""Miscellaneous""",20,6883806602,2012,
"""Arts and Antiques""",21,327711762.2,2012,
"""Animal Products""",1,1613046097,2013,
"""Vegetable Products""",2,658668856.9,2013,
"""Animal and Vegetable Bi-Products""",3,173725277.1,2013,
"""Foodstuffs""",4,2435304261,2013,
"""Mineral Products""",5,18167721880,2013,
"""Chemical Products""",6,65155974245,2013,
