Section,Section ID,Trade Value,Year,Country,,,,,,
"""Animal Products""",1,21228422300,2010,,,,,,,
"""Vegetable Products""",2,18475286157,2010,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1259612225,2010,,,,,,,
"""Foodstuffs""",4,19546664232,2010,,,,,,,
"""Mineral Products""",5,2.13062E+11,2010,,,,,,,
"""Chemical Products""",6,52417260677,2010,,,,,,,
"""Plastics and Rubbers""",7,18020005720,2010,,,,,,,
"""Animal Hides""",8,3651632423,2010,,,,,,,
"""Wood Products""",9,9753618101,2010,,,,,,,
"""Paper Goods""",10,5613988824,2010,,,,,,,
"""Textiles""",11,31501156151,2010,,,,,,,
"""Footwear and Headwear""",12,5321572655,2010,,,,,,,
"""Stone And Glass""",13,4839909050,2010,,,,,,,
"""Precious Metals""",14,9948634968,2010,,,,,,,
"""Metals""",15,33986542766,2010,,,,,,,
"""Machines""",16,1.39004E+11,2010,,,,,,,
"""Transportation""",17,19524088355,2010,,,,,,,
"""Instruments""",18,25115601173,2010,,,,,,,
"""Weapons""",19,341259594,2010,,,,,,,
"""Miscellaneous""",20,12474591635,2010,,,,,,,
"""Arts and Antiques""",21,264601940.3,2010,,,,,,,
"""Animal Products""",1,25024334053,2011,,,,,,,
"""Vegetable Products""",2,22804299674,2011,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1689807138,2011,,,,,,,
"""Foodstuffs""",4,24330100993,2011,,,,,,,
"""Mineral Products""",5,2.92548E+11,2011,,,,,,,
"""Chemical Products""",6,64155188147,2011,,,,,,,
"""Plastics and Rubbers""",7,22837462339,2011,,,,,,,
"""Animal Hides""",8,4121282164,2011,,,,,,,
"""Wood Products""",9,11611282450,2011,,,,,,,
"""Paper Goods""",10,6644544391,2011,,,,,,,
"""Textiles""",11,39530660357,2011,,,,,,,
"""Footwear and Headwear""",12,6105508023,2011,,,,,,,
"""Stone And Glass""",13,5490460945,2011,,,,,,,
"""Precious Metals""",14,11121509611,2011,,,,,,,
"""Metals""",15,41123294020,2011,,,,,,,
"""Machines""",16,1.5329E+11,2011,,,,,,,
"""Transportation""",17,22898233041,2011,,,,,,,
"""Instruments""",18,27434408335,2011,,,,,,,
"""Weapons""",19,233622566.5,2011,,,,,,,
"""Miscellaneous""",20,14759463464,2011,,,,,,,
"""Arts and Antiques""",21,213262854.9,2011,,,,,,,
"""Animal Products""",1,24516167645,2012,,,,,,,
"""Vegetable Products""",2,22849326090,2012,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1564827349,2012,,,,,,,
"""Foodstuffs""",4,24695144168,2012,,,,,,,
"""Mineral Products""",5,3.06153E+11,2012,,,,,,,
"""Chemical Products""",6,61265029992,2012,,,,,,,
"""Plastics and Rubbers""",7,21938572544,2012,,,,,,,
"""Animal Hides""",8,4329589318,2012,,,,,,,
"""Wood Products""",9,10608021253,2012,,,,,,,
"""Paper Goods""",10,6611725794,2012,,,,,,,
"""Textiles""",11,40097399727,2012,,,,,,,
"""Footwear and Headwear""",12,6638339550,2012,,,,,,,
"""Stone And Glass""",13,5340012668,2012,,,,,,,
"""Precious Metals""",14,10506011599,2012,,,,,,,
"""Metals""",15,35051986183,2012,,,,,,,
"""Machines""",16,1.46335E+11,2012,,,,,,,
"""Transportation""",17,28555322734,2012,,,,,,,
"""Instruments""",18,30311808479,2012,,,,,,,
"""Weapons""",19,171242498.1,2012,,,,,,,
"""Miscellaneous""",20,16498591889,2012,,,,,,,
"""Arts and Antiques""",21,245439250.6,2012,,,,,,,
"""Animal Products""",1,22249347049,2013,,,,,,,
"""Vegetable Products""",2,21642800412,2013,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1418280852,2013,,,,,,,
"""Foodstuffs""",4,23285827035,2013,,,,,,,
"""Mineral Products""",5,2.89949E+11,2013,,,,,,,
"""Chemical Products""",6,55031820116,2013,,,,,,,
"""Plastics and Rubbers""",7,20543648011,2013,,,,,,,
"""Animal Hides""",8,4261017299,2013,,,,,,,
"""Wood Products""",9,11679527852,2013,,,,,,,
"""Paper Goods""",10,5913716479,2013,,,,,,,
"""Textiles""",11,39755000979,2013,,,,,,,
"""Footwear and Headwear""",12,7020402483,2013,,,,,,,
"""Stone And Glass""",13,5314800018,2013,,,,,,,
"""Precious Metals""",14,10747052008,2013,,,,,,,
"""Metals""",15,31841752103,2013,,,,,,,
"""Machines""",16,1.55441E+11,2013,,,,,,,
"""Transportation""",17,28890716393,2013,,,,,,,
"""Instruments""",18,27890008411,2013,,,,,,,
"""Weapons""",19,201041103.9,2013,,,,,,,
"""Miscellaneous""",20,15754053749,2013,,,,,,,
"""Arts and Antiques""",21,267244107.1,2013,,,,,,,
"""Animal Products""",1,23355919029,2014,,,,,,,
"""Vegetable Products""",2,19823580756,2014,,,,,,,
"""Animal and Vegetable Bi-Products""",3,1461293681,2014,,,,,,,
"""Foodstuffs""",4,23392848242,2014,,,,,,,
"""Mineral Products""",5,2.72953E+11,2014,,,,,,,
"""Chemical Products""",6,54009378790,2014,,,,,,,
"""Plastics and Rubbers""",7,20429163673,2014,,,,,,,
"""Animal Hides""",8,4379057671,2014,,,,,,,
"""Wood Products""",9,10878385612,2014,,,,,,,
"""Paper Goods""",10,5827175580,2014,,,,,,,
"""Textiles""",11,37645258982,2014,,,,,,,
"""Footwear and Headwear""",12,6878537945,2014,,,,,,,
"""Stone And Glass""",13,5317572661,2014,,,,,,,
