Section,Section ID,Trade Value,Year,Country,,,,
"""Animal Products""",1,1292137423,2010,,,,,
"""Vegetable Products""",2,797150146.8,2010,,,,,
"""Animal and Vegetable Bi-Products""",3,15754234603,2010,,,,,
"""Foodstuffs""",4,4565869690,2010,,,,,
"""Mineral Products""",5,41155221541,2010,,,,,
"""Chemical Products""",6,10005799129,2010,,,,,
"""Plastics and Rubbers""",7,14845310034,2010,,,,,
"""Animal Hides""",8,97648632.48,2010,,,,,
"""Wood Products""",9,4500204377,2010,,,,,
"""Paper Goods""",10,1290204734,2010,,,,,
"""Textiles""",11,3240449167,2010,,,,,
"""Footwear and Headwear""",12,268804969.3,2010,,,,,
"""Stone And Glass""",13,1453864392,2010,,,,,
"""Precious Metals""",14,3113415552,2010,,,,,
"""Metals""",15,9669481134,2010,,,,,
"""Machines""",16,1.09E+11,2010,,,,,
"""Transportation""",17,2464669065,2010,,,,,
"""Instruments""",18,6396863898,2010,,,,,
"""Weapons""",19,2794375.621,2010,,,,,
"""Miscellaneous""",20,3555918489,2010,,,,,
"""Arts and Antiques""",21,4263551.502,2010,,,,,
"""Animal Products""",1,1522973402,2011,,,,,
"""Vegetable Products""",2,999791370.8,2011,,,,,
"""Animal and Vegetable Bi-Products""",3,22133979100,2011,,,,,
"""Foodstuffs""",4,5420384153,2011,,,,,
"""Mineral Products""",5,52947388325,2011,,,,,
"""Chemical Products""",6,12443447900,2011,,,,,
"""Plastics and Rubbers""",7,18366177600,2011,,,,,
"""Animal Hides""",8,127275333.1,2011,,,,,
"""Wood Products""",9,5161429344,2011,,,,,
"""Paper Goods""",10,1439961700,2011,,,,,
"""Textiles""",11,3923731072,2011,,,,,
"""Footwear and Headwear""",12,237503728.9,2011,,,,,
"""Stone And Glass""",13,1720035370,2011,,,,,
"""Precious Metals""",14,3723537194,2011,,,,,
"""Metals""",15,12150218018,2011,,,,,
"""Machines""",16,1.13E+11,2011,,,,,
"""Transportation""",17,3000001678,2011,,,,,
"""Instruments""",18,7104060807,2011,,,,,
"""Weapons""",19,2199659.389,2011,,,,,
"""Miscellaneous""",20,3723077347,2011,,,,,
"""Arts and Antiques""",21,11944738.92,2011,,,,,
"""Animal Products""",1,1446191681,2012,,,,,
"""Vegetable Products""",2,954100993.5,2012,,,,,
"""Animal and Vegetable Bi-Products""",3,19134113687,2012,,,,,
"""Foodstuffs""",4,5675691597,2012,,,,,
"""Mineral Products""",5,59273085112,2012,,,,,
"""Chemical Products""",6,12239953646,2012,,,,,
"""Plastics and Rubbers""",7,15817126223,2012,,,,,
"""Animal Hides""",8,127519687.5,2012,,,,,
"""Wood Products""",9,4357029922,2012,,,,,
"""Paper Goods""",10,1558844475,2012,,,,,
"""Textiles""",11,3495369750,2012,,,,,
"""Footwear and Headwear""",12,203055711,2012,,,,,
"""Stone And Glass""",13,1667989333,2012,,,,,
"""Precious Metals""",14,3394951392,2012,,,,,
"""Metals""",15,10663743251,2012,,,,,
"""Machines""",16,1.36E+11,2012,,,,,
"""Transportation""",17,2995319424,2012,,,,,
"""Instruments""",18,8361276897,2012,,,,,
"""Weapons""",19,2550132.909,2012,,,,,
"""Miscellaneous""",20,3779601457,2012,,,,,
"""Arts and Antiques""",21,6974534.779,2012,,,,,
"""Animal Products""",1,1397968799,2013,,,,,
"""Vegetable Products""",2,986906334.2,2013,,,,,
"""Animal and Vegetable Bi-Products""",3,16110955287,2013,,,,,
"""Foodstuffs""",4,5913069298,2013,,,,,
"""Mineral Products""",5,63230362090,2013,,,,,
"""Chemical Products""",6,12701774615,2013,,,,,
"""Plastics and Rubbers""",7,15467785918,2013,,,,,
"""Animal Hides""",8,141603814.4,2013,,,,,
"""Wood Products""",9,4853120682,2013,,,,,
"""Paper Goods""",10,1471760460,2013,,,,,
"""Textiles""",11,3448125754,2013,,,,,
"""Footwear and Headwear""",12,199768011.4,2013,,,,,
"""Stone And Glass""",13,1722583922,2013,,,,,
"""Precious Metals""",14,3588986192,2013,,,,,
"""Metals""",15,11381439470,2013,,,,,
"""Machines""",16,1.19E+11,2013,,,,,
"""Transportation""",17,3085586657,2013,,,,,
"""Instruments""",18,8059945302,2013,,,,,
"""Weapons""",19,2533243.646,2013,,,,,
"""Miscellaneous""",20,3629251023,2013,,,,,
"""Arts and Antiques""",21,5877339.182,2013,,,,,
"""Animal Products""",1,1530126822,2014,,,,,
"""Vegetable Products""",2,1128408216,2014,,,,,
"""Animal and Vegetable Bi-Products""",3,15682823003,2014,,,,,
"""Foodstuffs""",4,6186700391,2014,,,,,
"""Mineral Products""",5,61912132588,2014,,,,,
"""Chemical Products""",6,13330087518,2014,,,,,
"""Plastics and Rubbers""",7,15210525720,2014,,,,,
"""Animal Hides""",8,160694309.4,2014,,,,,
"""Wood Products""",9,5023947587,2014,,,,,
"""Paper Goods""",10,1497902890,2014,,,,,
"""Textiles""",11,3663155923,2014,,,,,
"""Footwear and Headwear""",12,198024800.4,2014,,,,,
"""Stone And Glass""",13,1881935792,2014,,,,,
"""Precious Metals""",14,3876127476,2014,,,,,
"""Metals""",15,11986581090,2014,,,,,
"""Machines""",16,1.27E+11,2014,,,,,
"""Transportation""",17,3151707015,2014,,,,,
"""Instruments""",18,9186451701,2014,,,,,
"""Weapons""",19,2213379.754,2014,,,,,
"""Miscellaneous""",20,3925494440,2014,,,,,
"""Arts and Antiques""",21,10768758.01,2014,,,,,
"""Animal Products""",1,1343179285,2015,,,,,
"""Vegetable Products""",2,1129348015,2015,,,,,
"""Animal and Vegetable Bi-Products""",3,12833178452,2015,,,,,
"""Foodstuffs""",4,5730205966,2015,,,,,
"""Mineral Products""",5,40335107442,2015,,,,,
"""Chemical Products""",6,11727323138,2015,,,,,
"""Plastics and Rubbers""",7,14123264962,2015,,,,,
"""Animal Hides""",8,150029561.7,2015,,,,,
"""Wood Products""",9,4276732611,2015,,,,,
"""Paper Goods""",10,1545275610,2015,,,,,
"""Textiles""",11,3407976207,2015,,,,,
"""Footwear and Headwear""",12,185387249.9,2015,,,,,
"""Stone And Glass""",13,1824259526,2015,,,,,
"""Precious Metals""",14,3494394308,2015,,,,,
"""Metals""",15,11549413181,2015,,,,,
"""Machines""",16,1.21E+11,2015,,,,,
"""Transportation""",17,2904542062,2015,,,,,
"""Instruments""",18,9037797296,2015,,,,,
"""Weapons""",19,1204706.855,2015,,,,,
"""Miscellaneous""",20,3731751507,2015,,,,,
"""Arts and Antiques""",21,9592266.311,2015,,,,,
"""Animal Products""",1,1302175417,2016,,,,,
"""Vegetable Products""",2,1103058290,2016,,,,,
"""Animal and Vegetable Bi-Products""",3,12165036327,2016,,,,,
"""Foodstuffs""",4,5978505636,2016,,,,,
"""Mineral Products""",5,31968896754,2016,,,,,
"""Chemical Products""",6,11452660494,2016,,,,,
"""Plastics and Rubbers""",7,13264566482,2016,,,,,
"""Animal Hides""",8,114231987.3,2016,,,,,
"""Wood Products""",9,3805021032,2016,,,,,
"""Paper Goods""",10,1394245059,2016,,,,,
"""Textiles""",11,3253440367,2016,,,,,
"""Footwear and Headwear""",12,210983087.5,2016,,,,,
"""Stone And Glass""",13,1617166074,2016,,,,,
"""Precious Metals""",14,2696819421,2016,,,,,
"""Metals""",15,9840692879,2016,,,,,
"""Machines""",16,1.18E+11,2016,,,,,
"""Transportation""",17,2825552665,2016,,,,,
"""Instruments""",18,9345305475,2016,,,,,
"""Weapons""",19,4984076.115,2016,,,,,
"""Miscellaneous""",20,3587811559,2016,,,,,
"""Arts and Antiques""",21,11844909.94,2016,,,,,
"""Animal Products""",1,1409668876,2017,,,,,
"""Vegetable Products""",2,1167614854,2017,,,,,
"""Animal and Vegetable Bi-Products""",3,13032069857,2017,,,,,
"""Foodstuffs""",4,5978611357,2017,,,,,
"""Mineral Products""",5,42511373547,2017,,,,,
"""Chemical Products""",6,12941228724,2017,,,,,
"""Plastics and Rubbers""",7,15087847421,2017,,,,,
"""Animal Hides""",8,131999919.7,2017,,,,,
"""Wood Products""",9,3683089489,2017,,,,,
"""Paper Goods""",10,1424321179,2017,,,,,
"""Textiles""",11,3299857413,2017,,,,,
"""Footwear and Headwear""",12,216637455.7,2017,,,,,
"""Stone And Glass""",13,1565747139,2017,,,,,
"""Precious Metals""",14,2606635231,2017,,,,,
"""Metals""",15,12049492030,2017,,,,,
"""Machines""",16,1.28E+11,2017,,,,,
"""Transportation""",17,3543379926,2017,,,,,
"""Instruments""",18,9863577183,2017,,,,,
"""Weapons""",19,5378435.387,2017,,,,,
"""Miscellaneous""",20,3681179991,2017,,,,,
"""Arts and Antiques""",21,8558325.523,2017,,,,,
"""Animal Products""",1,1401285088,2018,,,,,
"""Vegetable Products""",2,1162529918,2018,,,,,
"""Animal and Vegetable Bi-Products""",3,12539979116,2018,,,,,
"""Foodstuffs""",4,6398176691,2018,,,,,
"""Mineral Products""",5,53813044433,2018,,,,,
"""Chemical Products""",6,14911735407,2018,,,,,
"""Plastics and Rubbers""",7,16877671416,2018,,,,,
"""Animal Hides""",8,168656709.5,2018,,,,,
"""Wood Products""",9,3766889300,2018,,,,,
"""Paper Goods""",10,1621107709,2018,,,,,
"""Textiles""",11,3267499741,2018,,,,,
"""Footwear and Headwear""",12,216566731,2018,,,,,
"""Stone And Glass""",13,2026096527,2018,,,,,
"""Precious Metals""",14,3321897009,2018,,,,,
"""Metals""",15,15008745336,2018,,,,,
"""Machines""",16,1.52E+11,2018,,,,,
"""Transportation""",17,4107219175,2018,,,,,
"""Instruments""",18,11824224872,2018,,,,,
"""Weapons""",19,1049222.503,2018,,,,,
"""Miscellaneous""",20,3946088655,2018,,,,,
"""Arts and Antiques""",21,8776740.974,2018,,,,,
,,,,,,,,
"""Machines""",,13587,,Singapore,,,,
"""Machines""",,12318,,America,,,,
"""Machines""",,11077,,China,,,,
"""Machines""",,7399,,HongKong,,,,
"""Machines""",,4786,,Thailand,,,,
"""Chemical Products""",,6144,,Singapore,,,,
"""Chemical Products""",,5726,,Japan,,,,
"""Chemical Products""",,5678,,China,,,,
"""Chemical Products""",,2750,,Australia,,,,
"""Chemical Products""",,2603,,Indonesia,,,,
"""Mineral Products""",,5266,,Singapore,,,,
"""Mineral Products""",,5091,,Japan,,,,
"""Mineral Products""",,3831,,China,,,,
"""Mineral Products""",,2570,,Australia,,,,
"""Mineral Products""",,1698,,Indonesia,,,,
"""Plastics and Rubbers""",,2282,,China,,,,
"""Plastics and Rubbers""",,1523,,America,,,,
"""Plastics and Rubbers""",,844,,Singapore,,,,
"""Plastics and Rubbers""",,825,,Indonesia,,,,
"""Plastics and Rubbers""",,784,,Japan,,,,
