Section,Section ID,Trade Value,Year,Country,,,,
"""Animal Products""",1,1959772643,2010,,,,,
"""Vegetable Products""",2,3901773748,2010,,,,,
"""Animal and Vegetable Bi-Products""",3,2367390960,2010,,,,,
"""Foodstuffs""",4,4765247152,2010,,,,,
"""Mineral Products""",5,20126665166,2010,,,,,
"""Chemical Products""",6,10816447212,2010,,,,,
"""Plastics and Rubbers""",7,8321900731,2010,,,,,
"""Animal Hides""",8,371339307.6,2010,,,,,
"""Wood Products""",9,530453822.7,2010,,,,,
"""Paper Goods""",10,2340633940,2010,,,,,
"""Textiles""",11,2430949031,2010,,,,,
"""Footwear and Headwear""",12,358744665.3,2010,,,,,
"""Stone And Glass""",13,1352351099,2010,,,,,
"""Precious Metals""",14,3281611148,2010,,,,,
"""Metals""",15,14932627570,2010,,,,,
"""Machines""",16,64441841582,2010,,,,,
"""Transportation""",17,8937920984,2010,,,,,
"""Instruments""",18,5757527954,2010,,,,,
"""Weapons""",19,108832877.3,2010,,,,,
"""Miscellaneous""",20,1120471230,2010,,,,,
"""Arts and Antiques""",21,9507913.394,2010,,,,,
"""Animal Products""",1,2464287916,2011,,,,,
"""Vegetable Products""",2,4992308561,2011,,,,,
"""Animal and Vegetable Bi-Products""",3,3598897257,2011,,,,,
"""Foodstuffs""",4,5902420260,2011,,,,,
"""Mineral Products""",5,25590900316,2011,,,,,
"""Chemical Products""",6,12938464430,2011,,,,,
"""Plastics and Rubbers""",7,10283117775,2011,,,,,
"""Animal Hides""",8,516669270.7,2011,,,,,
"""Wood Products""",9,582319494.5,2011,,,,,
"""Paper Goods""",10,2478999227,2011,,,,,
"""Textiles""",11,3340268643,2011,,,,,
"""Footwear and Headwear""",12,396763152.1,2011,,,,,
"""Stone And Glass""",13,1715757224,2011,,,,,
"""Precious Metals""",14,4501985555,2011,,,,,
"""Metals""",15,18107502581,2011,,,,,
"""Machines""",16,68017381056,2011,,,,,
"""Transportation""",17,10484059067,2011,,,,,
"""Instruments""",18,6249557396,2011,,,,,
"""Weapons""",19,44811258.9,2011,,,,,
"""Miscellaneous""",20,1324130331,2011,,,,,
"""Arts and Antiques""",21,17648877.76,2011,,,,,
"""Animal Products""",1,2592195744,2012,,,,,
"""Vegetable Products""",2,4745222413,2012,,,,,
"""Animal and Vegetable Bi-Products""",3,2823175991,2012,,,,,
"""Foodstuffs""",4,6273500576,2012,,,,,
"""Mineral Products""",5,31884964007,2012,,,,,
"""Chemical Products""",6,12932435949,2012,,,,,
"""Plastics and Rubbers""",7,10235823524,2012,,,,,
"""Animal Hides""",8,527841833.5,2012,,,,,
"""Wood Products""",9,658076048.6,2012,,,,,
"""Paper Goods""",10,2474532686,2012,,,,,
"""Textiles""",11,3721633130,2012,,,,,
"""Footwear and Headwear""",12,451048629.2,2012,,,,,
"""Stone And Glass""",13,1546226394,2012,,,,,
"""Precious Metals""",14,4918653217,2012,,,,,
"""Metals""",15,18086656427,2012,,,,,
"""Machines""",16,70102935991,2012,,,,,
"""Transportation""",17,12769265213,2012,,,,,
"""Instruments""",18,6228147727,2012,,,,,
"""Weapons""",19,60215786.03,2012,,,,,
"""Miscellaneous""",20,1713824941,2012,,,,,
"""Arts and Antiques""",21,18855118.88,2012,,,,,
"""Animal Products""",1,2866242546,2013,,,,,
"""Vegetable Products""",2,5113740718,2013,,,,,
"""Animal and Vegetable Bi-Products""",3,1363453218,2013,,,,,
"""Foodstuffs""",4,6363568036,2013,,,,,
"""Mineral Products""",5,35196332779,2013,,,,,
"""Chemical Products""",6,13809964570,2013,,,,,
"""Plastics and Rubbers""",7,10793287881,2013,,,,,
"""Animal Hides""",8,650679465.4,2013,,,,,
"""Wood Products""",9,560713351.8,2013,,,,,
"""Paper Goods""",10,2444598303,2013,,,,,
"""Textiles""",11,3849357469,2013,,,,,
"""Footwear and Headwear""",12,580413883.2,2013,,,,,
"""Stone And Glass""",13,1640929127,2013,,,,,
"""Precious Metals""",14,5061003452,2013,,,,,
"""Metals""",15,21383028838,2013,,,,,
"""Machines""",16,67582163130,2013,,,,,
"""Transportation""",17,13008239803,2013,,,,,
"""Instruments""",18,6069734288,2013,,,,,
"""Weapons""",19,49935701.02,2013,,,,,
"""Miscellaneous""",20,2074983712,2013,,,,,
"""Arts and Antiques""",21,23195611.89,2013,,,,,
"""Animal Products""",1,3208797418,2014,,,,,
"""Vegetable Products""",2,4872226774,2014,,,,,
"""Animal and Vegetable Bi-Products""",3,1495629465,2014,,,,,
"""Foodstuffs""",4,6665422221,2014,,,,,
"""Mineral Products""",5,36708617271,2014,,,,,
"""Chemical Products""",6,14468885294,2014,,,,,
"""Plastics and Rubbers""",7,10979075202,2014,,,,,
"""Animal Hides""",8,653959387.1,2014,,,,,
"""Wood Products""",9,633047462.3,2014,,,,,
"""Paper Goods""",10,2438763878,2014,,,,,
"""Textiles""",11,3905105812,2014,,,,,
"""Footwear and Headwear""",12,571984910.8,2014,,,,,
"""Stone And Glass""",13,1726302273,2014,,,,,
"""Precious Metals""",14,4737606882,2014,,,,,
"""Metals""",15,20618034220,2014,,,,,
"""Machines""",16,69476736070,2014,,,,,
"""Transportation""",17,11892547319,2014,,,,,
"""Instruments""",18,6942345645,2014,,,,,
"""Weapons""",19,23885076.56,2014,,,,,
"""Miscellaneous""",20,2236383777,2014,,,,,
"""Arts and Antiques""",21,31460475.09,2014,,,,,
"""Animal Products""",1,2650609709,2015,,,,,
"""Vegetable Products""",2,4746836319,2015,,,,,
"""Animal and Vegetable Bi-Products""",3,1726421929,2015,,,,,
"""Foodstuffs""",4,6008830127,2015,,,,,
"""Mineral Products""",5,24121959386,2015,,,,,
"""Chemical Products""",6,12566428428,2015,,,,,
"""Plastics and Rubbers""",7,9942202133,2015,,,,,
"""Animal Hides""",8,735016315.2,2015,,,,,
"""Wood Products""",9,610055063.5,2015,,,,,
"""Paper Goods""",10,2145221944,2015,,,,,
"""Textiles""",11,4676219777,2015,,,,,
"""Footwear and Headwear""",12,751603479.5,2015,,,,,
"""Stone And Glass""",13,1679770855,2015,,,,,
"""Precious Metals""",14,3836796965,2015,,,,,
"""Metals""",15,16763431661,2015,,,,,
"""Machines""",16,61474850709,2015,,,,,
"""Transportation""",17,10295204860,2015,,,,,
"""Instruments""",18,5860841246,2015,,,,,
"""Weapons""",19,49170045.08,2015,,,,,
"""Miscellaneous""",20,2096326759,2015,,,,,
"""Arts and Antiques""",21,21456995.91,2015,,,,,
"""Animal Products""",1,2420782252,2016,,,,,
"""Vegetable Products""",2,4741328546,2016,,,,,
"""Animal and Vegetable Bi-Products""",3,1519783815,2016,,,,,
"""Foodstuffs""",4,5952412690,2016,,,,,
"""Mineral Products""",5,19751202601,2016,,,,,
"""Chemical Products""",6,11901096557,2016,,,,,
"""Plastics and Rubbers""",7,8695897585,2016,,,,,
"""Animal Hides""",8,690051446.9,2016,,,,,
"""Wood Products""",9,597979321.6,2016,,,,,
"""Paper Goods""",10,2208020775,2016,,,,,
"""Textiles""",11,4380167563,2016,,,,,
"""Footwear and Headwear""",12,842510459.4,2016,,,,,
"""Stone And Glass""",13,1685800964,2016,,,,,
"""Precious Metals""",14,3193380413,2016,,,,,
"""Metals""",15,14526606166,2016,,,,,
"""Machines""",16,60222918410,2016,,,,,
"""Transportation""",17,10238359821,2016,,,,,
"""Instruments""",18,5694846976,2016,,,,,
"""Weapons""",19,16066869.72,2016,,,,,
"""Miscellaneous""",20,2133760135,2016,,,,,
"""Arts and Antiques""",21,12593090.89,2016,,,,,
"""Animal Products""",1,2700181348,2017,,,,,
"""Vegetable Products""",2,4626598071,2017,,,,,
"""Animal and Vegetable Bi-Products""",3,1441005594,2017,,,,,
"""Foodstuffs""",4,5995009530,2017,,,,,
"""Mineral Products""",5,27714150565,2017,,,,,
"""Chemical Products""",6,13482107711,2017,,,,,
"""Plastics and Rubbers""",7,11320675631,2017,,,,,
"""Animal Hides""",8,705181291.8,2017,,,,,
"""Wood Products""",9,671952358.6,2017,,,,,
"""Paper Goods""",10,2408942866,2017,,,,,
"""Textiles""",11,4147362581,2017,,,,,
"""Footwear and Headwear""",12,873833700.2,2017,,,,,
"""Stone And Glass""",13,1647896999,2017,,,,,
"""Precious Metals""",14,4136444294,2017,,,,,
"""Metals""",15,16448649650,2017,,,,,
"""Machines""",16,72026798401,2017,,,,,
"""Transportation""",17,9611229925,2017,,,,,
"""Instruments""",18,6320282394,2017,,,,,
"""Weapons""",19,42232012.33,2017,,,,,
"""Miscellaneous""",20,2260598947,2017,,,,,
"""Arts and Antiques""",21,18718266.23,2017,,,,,
"""Animal Products""",1,2743281490,2018,,,,,
"""Vegetable Products""",2,4883980215,2018,,,,,
"""Animal and Vegetable Bi-Products""",3,1582702866,2018,,,,,
"""Foodstuffs""",4,6356895494,2018,,,,,
"""Mineral Products""",5,35174520467,2018,,,,,
"""Chemical Products""",6,15778918461,2018,,,,,
"""Plastics and Rubbers""",7,12276519178,2018,,,,,
"""Animal Hides""",8,718930763.3,2018,,,,,
"""Wood Products""",9,845240283,2018,,,,,
"""Paper Goods""",10,2653124125,2018,,,,,
"""Textiles""",11,4306476466,2018,,,,,
"""Footwear and Headwear""",12,842738623.6,2018,,,,,
"""Stone And Glass""",13,1983244581,2018,,,,,
"""Precious Metals""",14,4552018076,2018,,,,,
"""Metals""",15,18485267691,2018,,,,,
"""Machines""",16,74315336513,2018,,,,,
"""Transportation""",17,11021112984,2018,,,,,
"""Instruments""",18,6495861294,2018,,,,,
"""Weapons""",19,24449403.91,2018,,,,,
"""Miscellaneous""",20,2128435978,2018,,,,,
"""Arts and Antiques""",21,21237938.64,2018,,,,,
,,,,,,,,
"""Machines""",,16150,,China,,,,
"""Machines""",,7530,,America,,,,
"""Machines""",,7038,,"Taiwan, China",,,,
"""Machines""",,6986,,Singapore,,,,
"""Machines""",,5933,,Japan,,,,
"""Chemical Products""",,6325,,Singapore,,,,
"""Chemical Products""",,3577,,China,,,,
"""Chemical Products""",,2343,,Indonesia,,,,
"""Chemical Products""",,1971,,Korea,,,,
"""Chemical Products""",,1470,,Saudi Arabia,,,,
"""Mineral Products""",,5246,,Singapore,,,,
"""Mineral Products""",,1502,,Indonesia,,,,
"""Mineral Products""",,1408,,China,,,,
"""Mineral Products""",,1356,,Saudi Arabia,,,,
"""Mineral Products""",,1351,,Korea,,,,
"""Metals""",,4271,,China,,,,
"""Metals""",,1981,,Japan,,,,
"""Metals""",,1231,,Korea,,,,
"""Metals""",,1108,,Australia,,,,
"""Metals""",,856,,"Taiwan, China",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
