Section,Section ID,Trade Value,Year
"""Animal Products""",1,457835793.3473411,2010
"""Vegetable Products""",2,1252438146.2699628,2010
"""Animal and Vegetable Bi-Products""",3,25371.1527626,2010
"""Foodstuffs""",4,47325144.6293523,2010
"""Mineral Products""",5,2822171499.163071,2010
"""Chemical Products""",6,6071342.6164192,2010
"""Plastics and Rubbers""",7,211729279.88774648,2010
"""Animal Hides""",8,9753943.925693,2010
"""Wood Products""",9,832948267.7383374,2010
"""Paper Goods""",10,9983163.9875355,2010
"""Textiles""",11,677081237.9474137,2010
"""Footwear and Headwear""",12,96699867.0260272,2010
"""Stone And Glass""",13,989294.1202658,2010
"""Precious Metals""",14,39190572.2500202,2010
"""Metals""",15,59657511.0865668,2010
"""Machines""",16,10624554.778466,2010
"""Transportation""",17,2672360.1738077,2010
"""Instruments""",18,32106276.0,2010
"""Miscellaneous""",20,9098221.841030799,2010
"""Arts and Antiques""",21,1420097.1362547998,2010
"""Animal Products""",1,321061844.82092,2011
"""Vegetable Products""",2,1107571061.3909967,2011
"""Animal and Vegetable Bi-Products""",3,1929038.2402721,2011
"""Foodstuffs""",4,46088037.7833031,2011
"""Mineral Products""",5,3055947892.6983624,2011
"""Chemical Products""",6,17083084.534385204,2011
"""Plastics and Rubbers""",7,226863771.78304595,2011
"""Animal Hides""",8,4948070.8601659,2011
"""Wood Products""",9,965758050.3054998,2011
"""Paper Goods""",10,9618600.0346781,2011
"""Textiles""",11,856274926.0787495,2011
"""Footwear and Headwear""",12,104461844.0,2011
"""Stone And Glass""",13,1144288.4973291,2011
"""Precious Metals""",14,55356734.0,2011
"""Metals""",15,49289842.1142152,2011
"""Machines""",16,24045865.2775691,2011
"""Transportation""",17,3309300.7908268003,2011
"""Instruments""",18,51639612.0231319,2011
"""Miscellaneous""",20,7041382.7294177,2011
"""Arts and Antiques""",21,85187.0,2011
"""Animal Products""",1,334749655.46575814,2012
"""Vegetable Products""",2,1065522721.1356062,2012
"""Animal and Vegetable Bi-Products""",3,2269113.6253958996,2012
"""Foodstuffs""",4,53655591.13834191,2012
"""Mineral Products""",5,3351860475.2018204,2012
"""Chemical Products""",6,15239034.3590681,2012
"""Plastics and Rubbers""",7,219624935.78345808,2012
"""Animal Hides""",8,5156136.0329421,2012
"""Wood Products""",9,706875499.6869107,2012
"""Paper Goods""",10,2333069.354043,2012
"""Textiles""",11,910425217.887608,2012
"""Footwear and Headwear""",12,119628103.6320506,2012
"""Stone And Glass""",13,1481402.8061797002,2012
"""Precious Metals""",14,212321433.0,2012
"""Metals""",15,75167754.2012536,2012
"""Machines""",16,37689205.4520157,2012
"""Transportation""",17,3099878.355068,2012
"""Instruments""",18,81251902.0,2012
"""Miscellaneous""",20,7498899.9661637,2012
"""Arts and Antiques""",21,602060.0,2012
"""Animal Products""",1,379164980.4023063,2013
"""Vegetable Products""",2,1134000003.4446404,2013
"""Animal and Vegetable Bi-Products""",3,732475.7805380999,2013
"""Foodstuffs""",4,74507183.21748951,2013
"""Mineral Products""",5,4129311940.2991343,2013
"""Chemical Products""",6,10579468.163568301,2013
"""Plastics and Rubbers""",7,201110567.77279642,2013
"""Animal Hides""",8,6468018.6380308,2013
"""Wood Products""",9,1087529451.607026,2013
"""Paper Goods""",10,2494126.2019514,2013
"""Textiles""",11,1165749501.220525,2013
"""Footwear and Headwear""",12,127382460.0,2013
"""Stone And Glass""",13,1157424.6785310004,2013
"""Precious Metals""",14,955759683.0,2013
"""Metals""",15,109275003.2293316,2013
"""Machines""",16,48871184.0,2013
"""Transportation""",17,3179771.0532547003,2013
"""Instruments""",18,42212085.0,2013
"""Weapons""",19,79430.0,2013
"""Miscellaneous""",20,8315672.412276398,2013
"""Arts and Antiques""",21,258284.0,2013
"""Animal Products""",1,731712891.2169472,2014
"""Vegetable Products""",2,1840201941.2177224,2014
"""Animal and Vegetable Bi-Products""",3,1493704.5636755999,2014
"""Foodstuffs""",4,131461078.67186539,2014
"""Mineral Products""",5,8247022482.681369,2014
"""Chemical Products""",6,26644489.824990503,2014
"""Plastics and Rubbers""",7,170045664.32030874,2014
"""Animal Hides""",8,14832691.6959914,2014
"""Wood Products""",9,1453394686.2419825,2014
"""Paper Goods""",10,5905583.051877399,2014
"""Textiles""",11,1673859583.1643252,2014
"""Footwear and Headwear""",12,176016174.5804225,2014
"""Stone And Glass""",13,6497270.6276491005,2014
"""Precious Metals""",14,809526050.0804001,2014
"""Metals""",15,477725089.34974575,2014
"""Machines""",16,86669831.7270612,2014
"""Transportation""",17,4647389.1782954,2014
"""Instruments""",18,51105145.481728,2014
"""Miscellaneous""",20,13385946.1480591,2014
"""Arts and Antiques""",21,325792.98311459995,2014
"""Animal Products""",1,579194306.1995455,2015
"""Vegetable Products""",2,1749107263.2515075,2015
"""Animal and Vegetable Bi-Products""",3,2556625.0717535,2015
"""Foodstuffs""",4,356262321.4505734,2015
"""Mineral Products""",5,9501846199.242174,2015
"""Chemical Products""",6,26811332.9128007,2015
"""Plastics and Rubbers""",7,173746402.4676691,2015
"""Animal Hides""",8,60234661.1906543,2015
"""Wood Products""",9,497092605.2892225,2015
"""Paper Goods""",10,13418423.639846299,2015
"""Textiles""",11,2014751189.258475,2015
"""Footwear and Headwear""",12,233997992.7964055,2015
"""Stone And Glass""",13,5775211.555532699,2015
"""Precious Metals""",14,156711555.258854,2015
"""Metals""",15,504916511.89526606,2015
"""Machines""",16,141706263.88333708,2015
"""Transportation""",17,5986640.3243435,2015
"""Instruments""",18,86422823.8323929,2015
"""Weapons""",19,2154.0,2015
"""Miscellaneous""",20,29893905.474050898,2015
"""Arts and Antiques""",21,473430.2769557,2015
"""Animal Products""",1,614323644.3942634,2016
"""Vegetable Products""",2,1862903342.2654865,2016
"""Animal and Vegetable Bi-Products""",3,2567203.1760253003,2016
"""Foodstuffs""",4,1188601364.3778732,2016
"""Mineral Products""",5,6472132443.073183,2016
"""Chemical Products""",6,26115499.907022897,2016
"""Plastics and Rubbers""",7,261567984.83640504,2016
"""Animal Hides""",8,145828715.7143408,2016
"""Wood Products""",9,516947536.7727125,2016
"""Paper Goods""",10,9723019.124279799,2016
"""Textiles""",11,2536505563.8968477,2016
"""Footwear and Headwear""",12,313296084.1314342,2016
"""Stone And Glass""",13,6455105.5066361,2016
"""Precious Metals""",14,214178555.32503143,2016
"""Metals""",15,496562221.8687994,2016
"""Machines""",16,688098799.8027236,2016
"""Transportation""",17,90465322.963974,2016
"""Instruments""",18,121088338.4355391,2016
"""Weapons""",19,2223.0,2016
"""Miscellaneous""",20,36971456.19819721,2016
"""Arts and Antiques""",21,684494.375088,2016
"""Animal Products""",1,641898802.1841241,2017
"""Vegetable Products""",2,2137940412.132094,2017
"""Animal and Vegetable Bi-Products""",3,3176325.1749181,2017
"""Foodstuffs""",4,487378976.85807645,2017
"""Mineral Products""",5,4426312555.441675,2017
"""Chemical Products""",6,37464295.3367121,2017
"""Plastics and Rubbers""",7,369572882.58507824,2017
"""Animal Hides""",8,211704270.7215932,2017
"""Wood Products""",9,345177886.30999315,2017
"""Paper Goods""",10,11726963.843244601,2017
"""Textiles""",11,3802166362.2871103,2017
"""Footwear and Headwear""",12,403166539.56161237,2017
"""Stone And Glass""",13,4546995.877131499,2017
"""Precious Metals""",14,112769091.25050779,2017
"""Metals""",15,1012891256.8388588,2017
"""Machines""",16,334262116.530105,2017
"""Transportation""",17,516785211.9024825,2017
"""Instruments""",18,157778459.8562371,2017
"""Weapons""",19,610935.0,2017
"""Miscellaneous""",20,40385005.607224606,2017
"""Arts and Antiques""",21,710088.6449654,2017
"""Animal Products""",1,1095030757.2322464,2018
"""Vegetable Products""",2,1876705426.0720172,2018
"""Animal and Vegetable Bi-Products""",3,3594132.0459654694,2018
"""Foodstuffs""",4,875625422.653205,2018
"""Mineral Products""",5,6348112542.63047,2018
"""Chemical Products""",6,101508834.13497612,2018
"""Plastics and Rubbers""",7,431815579.36263525,2018
"""Animal Hides""",8,348877890.80658424,2018
"""Wood Products""",9,371462399.4452055,2018
"""Paper Goods""",10,19096722.58082217,2018
"""Textiles""",11,5499473715.210533,2018
"""Footwear and Headwear""",12,540057899.7318003,2018
"""Stone And Glass""",13,7236528.614324171,2018
"""Precious Metals""",14,319506762.32621944,2018
"""Metals""",15,1413697961.7659516,2018
"""Machines""",16,319634896.00049025,2018
"""Transportation""",17,191347918.9725196,2018
"""Instruments""",18,210913449.7585803,2018
"""Weapons""",19,475759.0,2018
"""Miscellaneous""",20,44707339.88997662,2018
"""Arts and Antiques""",21,297481.78854924114,2018
