Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,12605054079,2010,
"""Vegetable Products""",2,1787297686,2010,
"""Animal and Vegetable Bi-Products""",3,153117205.2,2010,
"""Foodstuffs""",4,2923355342,2010,
"""Mineral Products""",5,1857746182,2010,
"""Chemical Products""",6,1577257618,2010,
"""Plastics and Rubbers""",7,383021537.7,2010,
"""Animal Hides""",8,357700201.3,2010,
"""Wood Products""",9,2287089343,2010,
"""Paper Goods""",10,1151772754,2010,
"""Textiles""",11,847630602.4,2010,
"""Footwear and Headwear""",12,32449446.9,2010,
"""Stone And Glass""",13,56986955.04,2010,
"""Precious Metals""",14,625600392.9,2010,
"""Metals""",15,1747791745,2010,
"""Machines""",16,1932334305,2010,
"""Transportation""",17,545008951.7,2010,
"""Instruments""",18,440082987.3,2010,
"""Weapons""",19,4038428.671,2010,
"""Miscellaneous""",20,160239794.1,2010,
"""Arts and Antiques""",21,11650802.13,2010,
"""Animal Products""",1,15719602927,2011,
"""Vegetable Products""",2,2075394484,2011,
"""Animal and Vegetable Bi-Products""",3,202559393.9,2011,
"""Foodstuffs""",4,3395276248,2011,
"""Mineral Products""",5,2591040843,2011,
"""Chemical Products""",6,2092674524,2011,
"""Plastics and Rubbers""",7,427371921,2011,
"""Animal Hides""",8,513451644.6,2011,
"""Wood Products""",9,2931922255,2011,
"""Paper Goods""",10,1246141194,2011,
"""Textiles""",11,1069434261,2011,
"""Footwear and Headwear""",12,35143222.37,2011,
"""Stone And Glass""",13,67203993.09,2011,
"""Precious Metals""",14,727589601.7,2011,
"""Metals""",15,2179305430,2011,
"""Machines""",16,2379923881,2011,
"""Transportation""",17,467918900.6,2011,
"""Instruments""",18,473332896.7,2011,
"""Weapons""",19,5027924.842,2011,
"""Miscellaneous""",20,188579496.9,2011,
"""Arts and Antiques""",21,20288809.83,2011,
"""Animal Products""",1,15725511895,2012,
"""Vegetable Products""",2,2027126802,2012,
"""Animal and Vegetable Bi-Products""",3,197540616.9,2012,
"""Foodstuffs""",4,3503385350,2012,
"""Mineral Products""",5,2164536303,2012,
"""Chemical Products""",6,2328593835,2012,
"""Plastics and Rubbers""",7,435700140.7,2012,
"""Animal Hides""",8,521652540.7,2012,
"""Wood Products""",9,2628738324,2012,
"""Paper Goods""",10,1123267001,2012,
"""Textiles""",11,1014004306,2012,
"""Footwear and Headwear""",12,29011202.14,2012,
"""Stone And Glass""",13,69053306.67,2012,
"""Precious Metals""",14,653413394.2,2012,
"""Metals""",15,1801385036,2012,
"""Machines""",16,2384638656,2012,
"""Transportation""",17,465858507.7,2012,
"""Instruments""",18,514085355.1,2012,
"""Weapons""",19,6799781.701,2012,
"""Miscellaneous""",20,148117626.9,2012,
"""Arts and Antiques""",21,25882393.5,2012,
"""Animal Products""",1,17524699070,2013,
"""Vegetable Products""",2,2089808684,2013,
"""Animal and Vegetable Bi-Products""",3,155484878.9,2013,
"""Foodstuffs""",4,3824417026,2013,
"""Mineral Products""",5,1831982955,2013,
"""Chemical Products""",6,2531085468,2013,
"""Plastics and Rubbers""",7,441140957.4,2013,
"""Animal Hides""",8,576951565.7,2013,
"""Wood Products""",9,3197838404,2013,
"""Paper Goods""",10,1100389309,2013,
"""Textiles""",11,959619388.3,2013,
"""Footwear and Headwear""",12,26494309.89,2013,
"""Stone And Glass""",13,80049497.26,2013,
"""Precious Metals""",14,662494759.9,2013,
"""Metals""",15,1746352985,2013,
"""Machines""",16,2185876070,2013,
"""Transportation""",17,367628243,2013,
"""Instruments""",18,592040556.5,2013,
"""Weapons""",19,4811480.728,2013,
"""Miscellaneous""",20,144977569.5,2013,
"""Arts and Antiques""",21,31222559.03,2013,
"""Animal Products""",1,19621400515,2014,
"""Vegetable Products""",2,2356563346,2014,
"""Animal and Vegetable Bi-Products""",3,180063611.2,2014,
"""Foodstuffs""",4,3963878904,2014,
"""Mineral Products""",5,1883640612,2014,
"""Chemical Products""",6,3062091576,2014,
"""Plastics and Rubbers""",7,461124030.8,2014,
"""Animal Hides""",8,552296916.4,2014,
"""Wood Products""",9,3117898162,2014,
"""Paper Goods""",10,1093329194,2014,
"""Textiles""",11,1018946792,2014,
"""Footwear and Headwear""",12,24947121.8,2014,
"""Stone And Glass""",13,118341639.3,2014,
"""Precious Metals""",14,571698919.9,2014,
"""Metals""",15,1693299402,2014,
"""Machines""",16,2191086044,2014,
"""Transportation""",17,448227240.9,2014,
"""Instruments""",18,564715174.9,2014,
"""Weapons""",19,6689268.896,2014,
"""Miscellaneous""",20,167842774.1,2014,
"""Arts and Antiques""",21,24751429.49,2014,
"""Animal Products""",1,15430331902,2015,
"""Vegetable Products""",2,2327919295,2015,
"""Animal and Vegetable Bi-Products""",3,139325669.5,2015,
"""Foodstuffs""",4,3837126181,2015,
"""Mineral Products""",5,1016771717,2015,
"""Chemical Products""",6,2522101022,2015,
"""Plastics and Rubbers""",7,399668190.9,2015,
"""Animal Hides""",8,479621222,2015,
"""Wood Products""",9,2577806299,2015,
"""Paper Goods""",10,988146952.3,2015,
"""Textiles""",11,899520694.4,2015,
"""Footwear and Headwear""",12,25492021.17,2015,
"""Stone And Glass""",13,80481157.78,2015,
"""Precious Metals""",14,519126606.4,2015,
"""Metals""",15,1400285154,2015,
"""Machines""",16,2000960187,2015,
"""Transportation""",17,452276047.4,2015,
"""Instruments""",18,572222397.4,2015,
"""Weapons""",19,4620223.65,2015,
"""Miscellaneous""",20,140266812.6,2015,
"""Arts and Antiques""",21,27377810.61,2015,
"""Animal Products""",1,13889252929,2016,
"""Vegetable Products""",2,2623258510,2016,
"""Animal and Vegetable Bi-Products""",3,154390630.4,2016,
"""Foodstuffs""",4,4279848817,2016,
"""Mineral Products""",5,791601808.7,2016,
"""Chemical Products""",6,2267985314,2016,
"""Plastics and Rubbers""",7,384108817.8,2016,
"""Animal Hides""",8,333620162.8,2016,
