Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,340422350.6,2010,
"""Vegetable Products""",2,614700426,2010,
"""Animal and Vegetable Bi-Products""",3,171722568,2010,
"""Foodstuffs""",4,2050725350,2010,
"""Mineral Products""",5,4479142358,2010,
"""Chemical Products""",6,2887034874,2010,
"""Plastics and Rubbers""",7,1538173511,2010,
"""Animal Hides""",8,133638470,2010,
"""Wood Products""",9,133447196.1,2010,
"""Paper Goods""",10,1026330300,2010,
"""Textiles""",11,1440126372,2010,
"""Footwear and Headwear""",12,256743683.9,2010,
"""Stone And Glass""",13,402690174.6,2010,
"""Precious Metals""",14,186908551.9,2010,
"""Metals""",15,1576455320,2010,
"""Machines""",16,6137461443,2010,
"""Transportation""",17,3711391797,2010,
"""Instruments""",18,865534863.4,2010,
"""Weapons""",19,25764783.87,2010,
"""Miscellaneous""",20,798738157.3,2010,
"""Arts and Antiques""",21,12826262.33,2010,
"""Animal Products""",1,405891678.2,2011,
"""Vegetable Products""",2,770262721.1,2011,
"""Animal and Vegetable Bi-Products""",3,218252441.8,2011,
"""Foodstuffs""",4,2526789231,2011,
"""Mineral Products""",5,6009699841,2011,
"""Chemical Products""",6,3631593138,2011,
"""Plastics and Rubbers""",7,1795260596,2011,
"""Animal Hides""",8,153423649.5,2011,
"""Wood Products""",9,152004188.7,2011,
"""Paper Goods""",10,1105315287,2011,
"""Textiles""",11,1690335558,2011,
"""Footwear and Headwear""",12,292950583.3,2011,
"""Stone And Glass""",13,417535312.8,2011,
"""Precious Metals""",14,259392118,2011,
"""Metals""",15,1842337116,2011,
"""Machines""",16,7665733337,2011,
"""Transportation""",17,4513344961,2011,
"""Instruments""",18,1012060223,2011,
"""Weapons""",19,53919379.74,2011,
"""Miscellaneous""",20,869891096.6,2011,
"""Arts and Antiques""",21,45345989.51,2011,
"""Animal Products""",1,443927541.3,2012,
"""Vegetable Products""",2,791075462.6,2012,
"""Animal and Vegetable Bi-Products""",3,237865388.9,2012,
"""Foodstuffs""",4,2612114545,2012,
"""Mineral Products""",5,6470511213,2012,
"""Chemical Products""",6,3540636094,2012,
"""Plastics and Rubbers""",7,1867815016,2012,
"""Animal Hides""",8,162871222.4,2012,
"""Wood Products""",9,160717180.8,2012,
"""Paper Goods""",10,1101152227,2012,
"""Textiles""",11,1724940069,2012,
"""Footwear and Headwear""",12,314049312.3,2012,
"""Stone And Glass""",13,412595766.1,2012,
"""Precious Metals""",14,279849960.6,2012,
"""Metals""",15,1843802983,2012,
"""Machines""",16,8164149614,2012,
"""Transportation""",17,4963433127,2012,
"""Instruments""",18,1111800124,2012,
"""Weapons""",19,55502564.74,2012,
"""Miscellaneous""",20,1007123757,2012,
"""Arts and Antiques""",21,31707426.37,2012,
"""Animal Products""",1,500433601.3,2013,
"""Vegetable Products""",2,843218780.5,2013,
"""Animal and Vegetable Bi-Products""",3,244861640.9,2013,
"""Foodstuffs""",4,2752959750,2013,
"""Mineral Products""",5,6381645504,2013,
"""Chemical Products""",6,3493743927,2013,
"""Plastics and Rubbers""",7,1960634261,2013,
"""Animal Hides""",8,173238025.7,2013,
"""Wood Products""",9,180910942.3,2013,
"""Paper Goods""",10,1080305678,2013,
"""Textiles""",11,1792746313,2013,
"""Footwear and Headwear""",12,323895818.2,2013,
"""Stone And Glass""",13,430753702.9,2013,
"""Precious Metals""",14,256876397.6,2013,
"""Metals""",15,2058012458,2013,
"""Machines""",16,8150239707,2013,
"""Transportation""",17,5893874541,2013,
"""Instruments""",18,1164536019,2013,
"""Weapons""",19,59180889.61,2013,
"""Miscellaneous""",20,1098832025,2013,
"""Arts and Antiques""",21,28728212.94,2013,
"""Animal Products""",1,563132011.3,2014,
"""Vegetable Products""",2,926493218,2014,
"""Animal and Vegetable Bi-Products""",3,204288076,2014,
"""Foodstuffs""",4,2945492230,2014,
"""Mineral Products""",5,6537950623,2014,
"""Chemical Products""",6,3585710558,2014,
"""Plastics and Rubbers""",7,2112329934,2014,
"""Animal Hides""",8,188343213.2,2014,
"""Wood Products""",9,218142525.6,2014,
"""Paper Goods""",10,1080416938,2014,
"""Textiles""",11,1861488216,2014,
"""Footwear and Headwear""",12,333487646,2014,
"""Stone And Glass""",13,472904306.4,2014,
"""Precious Metals""",14,245885758.4,2014,
"""Metals""",15,2029036834,2014,
