Section,Section ID,Trade Value,Year
"""Animal Products""",1,656072532.9206026,2010
"""Vegetable Products""",2,2200250414.2165656,2010
"""Animal and Vegetable Bi-Products""",3,1228506536.8194602,2010
"""Foodstuffs""",4,1810792918.4166946,2010
"""Mineral Products""",5,2880760517.3429403,2010
"""Chemical Products""",6,1607144968.5752828,2010
"""Plastics and Rubbers""",7,1453161207.0776362,2010
"""Animal Hides""",8,199139991.7746171,2010
"""Wood Products""",9,659830415.6594688,2010
"""Paper Goods""",10,331195325.5692655,2010
"""Textiles""",11,1950332572.2357872,2010
"""Footwear and Headwear""",12,60803834.5137074,2010
"""Stone And Glass""",13,314341011.21604604,2010
"""Precious Metals""",14,1057556126.0624263,2010
"""Metals""",15,3409641679.2584395,2010
"""Machines""",16,51681988751.969,2010
"""Transportation""",17,1937850548.8845458,2010
"""Instruments""",18,2129922345.1426673,2010
"""Weapons""",19,33931875.694639295,2010
"""Miscellaneous""",20,754702992.3002906,2010
"""Arts and Antiques""",21,2326093.1559756002,2010
"""Animal Products""",1,829014873.5474088,2011
"""Vegetable Products""",2,2705207500.288189,2011
"""Animal and Vegetable Bi-Products""",3,1490845635.2475696,2011
"""Foodstuffs""",4,2352830085.372254,2011
"""Mineral Products""",5,3381855698.6082077,2011
"""Chemical Products""",6,1979374107.8505433,2011
"""Plastics and Rubbers""",7,1566993075.538693,2011
"""Animal Hides""",8,243049346.24579382,2011
"""Wood Products""",9,809746629.1941824,2011
"""Paper Goods""",10,383829466.7259895,2011
"""Textiles""",11,2379333357.806343,2011
"""Footwear and Headwear""",12,91089814.0460459,2011
"""Stone And Glass""",13,365007440.8371235,2011
"""Precious Metals""",14,1576929871.2813587,2011
"""Metals""",15,3744005595.5253587,2011
"""Machines""",16,45824982727.01571,2011
"""Transportation""",17,2011726464.7776496,2011
"""Instruments""",18,2152208420.2031145,2011
"""Weapons""",19,36306534.543326095,2011
"""Miscellaneous""",20,824771129.1464612,2011
"""Arts and Antiques""",21,3027437.7087942,2011
"""Animal Products""",1,851953425.4458537,2012
"""Vegetable Products""",2,2520076441.1178694,2012
"""Animal and Vegetable Bi-Products""",3,1242964830.9737766,2012
"""Foodstuffs""",4,2322181706.6246157,2012
"""Mineral Products""",5,3089579839.5986023,2012
"""Chemical Products""",6,1859861935.4728765,2012
"""Plastics and Rubbers""",7,1420015196.7501287,2012
"""Animal Hides""",8,288627160.31791294,2012
"""Wood Products""",9,912992090.1023167,2012
"""Paper Goods""",10,308909940.4864924,2012
"""Textiles""",11,2381305078.7741437,2012
"""Footwear and Headwear""",12,85874855.8062991,2012
"""Stone And Glass""",13,491525985.9929122,2012
"""Precious Metals""",14,1755961755.250311,2012
"""Metals""",15,2816885558.1346006,2012
"""Machines""",16,55003776494.24816,2012
"""Transportation""",17,2540888198.9731474,2012
"""Instruments""",18,2880519732.6289535,2012
"""Weapons""",19,44782040.9696845,2012
"""Miscellaneous""",20,791920189.3464819,2012
"""Arts and Antiques""",21,14062574.4920747,2012
"""Animal Products""",1,777746507.0365163,2013
"""Vegetable Products""",2,2570829731.549404,2013
"""Animal and Vegetable Bi-Products""",3,1233762676.8763697,2013
"""Foodstuffs""",4,2398248770.0865684,2013
"""Mineral Products""",5,4295968653.464122,2013
"""Chemical Products""",6,2261030763.8960824,2013
"""Plastics and Rubbers""",7,1499537790.5221336,2013
"""Animal Hides""",8,337918822.0811949,2013
"""Wood Products""",9,1038623059.0028774,2013
"""Paper Goods""",10,283134171.2394913,2013
"""Textiles""",11,2441382872.3258524,2013
"""Footwear and Headwear""",12,96828819.3797245,2013
"""Stone And Glass""",13,302885899.21922874,2013
"""Precious Metals""",14,1712204120.4212031,2013
"""Metals""",15,3277550988.2239475,2013
"""Machines""",16,52324425187.39458,2013
"""Transportation""",17,1950199800.9866748,2013
"""Instruments""",18,3257096243.346432,2013
"""Weapons""",19,69373422.08389041,2013
"""Miscellaneous""",20,872769483.3437686,2013
"""Arts and Antiques""",21,9739478.4081151,2013
"""Animal Products""",1,760435025.4255928,2014
"""Vegetable Products""",2,3066851303.860521,2014
"""Animal and Vegetable Bi-Products""",3,1468607295.7044828,2014
"""Foodstuffs""",4,2293410046.068121,2014
"""Mineral Products""",5,5989242485.252642,2014
"""Chemical Products""",6,1851130177.9122603,2014
"""Plastics and Rubbers""",7,1514436143.4136791,2014
"""Animal Hides""",8,437833988.8342793,2014
"""Wood Products""",9,1030784936.3181822,2014
"""Paper Goods""",10,483898175.21133673,2014
"""Textiles""",11,2599817814.1298265,2014
"""Footwear and Headwear""",12,105047702.04607561,2014
"""Stone And Glass""",13,325404621.0788671,2014
"""Precious Metals""",14,1391523607.6012578,2014
"""Metals""",15,3195659291.486489,2014
"""Machines""",16,52455040514.08783,2014
"""Transportation""",17,3018899837.1224265,2014
"""Instruments""",18,3487262989.7795863,2014
"""Weapons""",19,39479744.81468641,2014
"""Miscellaneous""",20,954803624.8521923,2014
"""Arts and Antiques""",21,13221693.3095069,2014
"""Animal Products""",1,639869522.0220606,2015
"""Vegetable Products""",2,2862924224.3918204,2015
"""Animal and Vegetable Bi-Products""",3,1221785534.5433655,2015
"""Foodstuffs""",4,2215387359.776457,2015
"""Mineral Products""",5,3570717315.2604856,2015
"""Chemical Products""",6,1546187165.0083613,2015
"""Plastics and Rubbers""",7,1405142065.0711818,2015
"""Animal Hides""",8,566173021.4357929,2015
"""Wood Products""",9,876995638.9682782,2015
"""Paper Goods""",10,280983235.8454653,2015
"""Textiles""",11,2452292431.8734856,2015
"""Footwear and Headwear""",12,121587275.1617051,2015
"""Stone And Glass""",13,249575576.32155657,2015
"""Precious Metals""",14,1468276538.6659696,2015
"""Metals""",15,2956181713.613739,2015
"""Machines""",16,48718693580.99982,2015
"""Transportation""",17,2659745173.1672745,2015
"""Instruments""",18,3329969224.101431,2015
"""Weapons""",19,58410361.62122641,2015
"""Miscellaneous""",20,976996778.8679924,2015
"""Arts and Antiques""",21,9974687.0070972,2015
"""Animal Products""",1,584131722.8838733,2016
"""Vegetable Products""",2,2535345596.7661886,2016
"""Animal and Vegetable Bi-Products""",3,1240057466.8828454,2016
"""Foodstuffs""",4,2100841716.3865054,2016
"""Mineral Products""",5,2998307864.2898474,2016
"""Chemical Products""",6,1653456928.2470644,2016
"""Plastics and Rubbers""",7,1419489814.741599,2016
"""Animal Hides""",8,703042355.6500584,2016
"""Wood Products""",9,1025418409.0324063,2016
"""Paper Goods""",10,303015759.6356374,2016
"""Textiles""",11,2198545214.0829577,2016
"""Footwear and Headwear""",12,159384066.2735627,2016
"""Stone And Glass""",13,217580106.34111434,2016
"""Precious Metals""",14,2203877839.0627995,2016
"""Metals""",15,2820783852.663523,2016
"""Machines""",16,49576437249.26449,2016
"""Transportation""",17,1937126112.0424027,2016
"""Instruments""",18,3516677818.676538,2016
"""Weapons""",19,41672768.8490566,2016
"""Miscellaneous""",20,966861590.2077779,2016
"""Arts and Antiques""",21,10744663.9784615,2016
"""Animal Products""",1,618711387.5570818,2017
"""Vegetable Products""",2,2740050930.1884885,2017
"""Animal and Vegetable Bi-Products""",3,1573021753.9470675,2017
"""Foodstuffs""",4,2544268011.271526,2017
"""Mineral Products""",5,2898197747.000799,2017
"""Chemical Products""",6,1783405928.1818788,2017
"""Plastics and Rubbers""",7,1522337420.5566607,2017
"""Animal Hides""",8,744835852.0226794,2017
"""Wood Products""",9,1034773319.5220675,2017
"""Paper Goods""",10,310188382.9119846,2017
"""Textiles""",11,2078014745.0608492,2017
"""Footwear and Headwear""",12,271236413.56106937,2017
"""Stone And Glass""",13,234101305.0536102,2017
"""Precious Metals""",14,2140117764.9007235,2017
"""Metals""",15,3880605612.51267,2017
"""Machines""",16,56205160613.21257,2017
"""Transportation""",17,3087267088.255666,2017
"""Instruments""",18,2935094414.4070377,2017
"""Weapons""",19,45419449.9544715,2017
"""Miscellaneous""",20,963043643.6654891,2017
"""Arts and Antiques""",21,13291774.494603999,2017
"""Animal Products""",1,615024397.9993346,2018
"""Vegetable Products""",2,3202281208.60066,2018
"""Animal and Vegetable Bi-Products""",3,1462832279.841425,2018
