Section,Section ID,Trade Value,Year
"""Animal Products""",1,1596801639.2382355,2010
"""Vegetable Products""",2,2927488737.8403,2010
"""Animal and Vegetable Bi-Products""",3,247321894.9897959,2010
"""Foodstuffs""",4,2990178279.971863,2010
"""Mineral Products""",5,12026502044.679543,2010
"""Chemical Products""",6,5084439427.3331785,2010
"""Plastics and Rubbers""",7,2504268361.5608354,2010
"""Animal Hides""",8,142071369.798742,2010
"""Wood Products""",9,260360239.81611794,2010
"""Paper Goods""",10,1103154813.364878,2010
"""Textiles""",11,1723468209.9855886,2010
"""Footwear and Headwear""",12,241069938.15480512,2010
"""Stone And Glass""",13,486536498.1791283,2010
"""Precious Metals""",14,551823408.1301885,2010
"""Metals""",15,4308333384.408731,2010
"""Machines""",16,26106050396.544216,2010
"""Transportation""",17,4708797771.599725,2010
"""Instruments""",18,1445603642.453715,2010
"""Weapons""",19,34292935.8555462,2010
"""Miscellaneous""",20,692230049.0752897,2010
"""Arts and Antiques""",21,2960360.5662517,2010
"""Animal Products""",1,1848284022.3074896,2011
"""Vegetable Products""",2,2491447392.505159,2011
"""Animal and Vegetable Bi-Products""",3,659629376.2873092,2011
"""Foodstuffs""",4,3212864023.963112,2011
"""Mineral Products""",5,14410239690.793715,2011
"""Chemical Products""",6,6077154081.861726,2011
"""Plastics and Rubbers""",7,3096788246.158613,2011
"""Animal Hides""",8,188235634.24881455,2011
"""Wood Products""",9,374586779.4474423,2011
"""Paper Goods""",10,1273215504.4303129,2011
"""Textiles""",11,2174646412.1012483,2011
"""Footwear and Headwear""",12,360659765.0504228,2011
"""Stone And Glass""",13,603304170.0989084,2011
"""Precious Metals""",14,465757617.5871477,2011
"""Metals""",15,5242786641.015481,2011
"""Machines""",16,20300023791.80019,2011
"""Transportation""",17,4636170203.756664,2011
"""Instruments""",18,1442997148.4397686,2011
"""Weapons""",19,50465501.20356001,2011
"""Miscellaneous""",20,792898218.2482629,2011
"""Arts and Antiques""",21,2537525.2849958,2011
"""Animal Products""",1,1900893582.2543886,2012
"""Vegetable Products""",2,2607789827.8257694,2012
"""Animal and Vegetable Bi-Products""",3,460016780.12069404,2012
"""Foodstuffs""",4,3431926500.5449123,2012
"""Mineral Products""",5,16041331399.719496,2012
"""Chemical Products""",6,5882550768.52068,2012
"""Plastics and Rubbers""",7,3168733358.3165483,2012
"""Animal Hides""",8,222936770.183969,2012
"""Wood Products""",9,472917891.60856193,2012
"""Paper Goods""",10,1242070599.5919213,2012
"""Textiles""",11,2212917214.9692507,2012
"""Footwear and Headwear""",12,451599153.1830301,2012
"""Stone And Glass""",13,673277104.7710385,2012
"""Precious Metals""",14,457727560.5946368,2012
"""Metals""",15,5162859484.66983,2012
"""Machines""",16,25460843471.61306,2012
"""Transportation""",17,6817143713.712903,2012
"""Instruments""",18,1691241494.7334137,2012
"""Weapons""",19,70379239.97095339,2012
"""Miscellaneous""",20,844497124.889149,2012
"""Arts and Antiques""",21,11444921.885251498,2012
"""Animal Products""",1,2138616960.6442742,2013
"""Vegetable Products""",2,2181962213.5693965,2013
"""Animal and Vegetable Bi-Products""",3,335273849.3350731,2013
"""Foodstuffs""",4,3935920761.6942897,2013
"""Mineral Products""",5,16029634623.798805,2013
"""Chemical Products""",6,5599340573.6268015,2013
"""Plastics and Rubbers""",7,3170821000.719141,2013
"""Animal Hides""",8,242174735.73699424,2013
"""Wood Products""",9,503619203.56013536,2013
"""Paper Goods""",10,1309305235.6836615,2013
"""Textiles""",11,2521470285.888589,2013
"""Footwear and Headwear""",12,473603280.94705296,2013
"""Stone And Glass""",13,797763694.1162219,2013
"""Precious Metals""",14,291816822.3390259,2013
"""Metals""",15,5197058260.6660595,2013
"""Machines""",16,26006104466.731373,2013
"""Transportation""",17,8058181039.787333,2013
"""Instruments""",18,1578312167.4580648,2013
"""Weapons""",19,62366110.4663675,2013
"""Miscellaneous""",20,978748114.3331808,2013
"""Arts and Antiques""",21,15435867.6785697,2013
"""Animal Products""",1,2598069685.1131434,2014
"""Vegetable Products""",2,2818837488.8743052,2014
"""Animal and Vegetable Bi-Products""",3,688971503.178968,2014
"""Foodstuffs""",4,4196814048.748575,2014
"""Mineral Products""",5,16691841698.670702,2014
"""Chemical Products""",6,6013044242.2503805,2014
"""Plastics and Rubbers""",7,3880992096.9073925,2014
"""Animal Hides""",8,269497283.87451285,2014
"""Wood Products""",9,567355161.680465,2014
"""Paper Goods""",10,1473369604.029876,2014
"""Textiles""",11,2641965669.391549,2014
"""Footwear and Headwear""",12,503960097.44868404,2014
"""Stone And Glass""",13,869705035.4045188,2014
"""Precious Metals""",14,328906394.7153736,2014
"""Metals""",15,5439824611.537447,2014
"""Machines""",16,26860511903.81212,2014
"""Transportation""",17,8879878938.683786,2014
"""Instruments""",18,1654213644.3637922,2014
"""Weapons""",19,77938252.9185698,2014
"""Miscellaneous""",20,1240141604.3200617,2014
"""Arts and Antiques""",21,16530069.478284396,2014
"""Animal Products""",1,2270319293.909149,2015
"""Vegetable Products""",2,2841854699.8869443,2015
"""Animal and Vegetable Bi-Products""",3,649716911.7194638,2015
"""Foodstuffs""",4,3971485800.2391157,2015
"""Mineral Products""",5,10885328423.787739,2015
"""Chemical Products""",6,5721916535.977538,2015
"""Plastics and Rubbers""",7,3391751824.161169,2015
"""Animal Hides""",8,361140634.88582605,2015
"""Wood Products""",9,582693778.4505743,2015
"""Paper Goods""",10,1395015229.0050635,2015
"""Textiles""",11,2885048889.535368,2015
"""Footwear and Headwear""",12,613264039.5546752,2015
"""Stone And Glass""",13,1014377669.6520473,2015
"""Precious Metals""",14,287291525.50247604,2015
"""Metals""",15,5442215766.72395,2015
"""Machines""",16,29242928761.73548,2015
"""Transportation""",17,7971024907.952295,2015
"""Instruments""",18,1862366902.4136114,2015
"""Weapons""",19,62011167.4941729,2015
"""Miscellaneous""",20,1523992808.6713533,2015
"""Arts and Antiques""",21,20690578.2508754,2015
"""Animal Products""",1,2347161731.773695,2016
"""Vegetable Products""",2,2758454222.0804095,2016
"""Animal and Vegetable Bi-Products""",3,651311295.6249317,2016
"""Foodstuffs""",4,4724909010.768713,2016
"""Mineral Products""",5,11631385749.912361,2016
"""Chemical Products""",6,6303113852.253296,2016
"""Plastics and Rubbers""",7,4108857818.0565767,2016
"""Animal Hides""",8,424380958.359437,2016
"""Wood Products""",9,650198929.4286286,2016
"""Paper Goods""",10,1586507863.2324436,2016
"""Textiles""",11,3374471811.525973,2016
"""Footwear and Headwear""",12,536189701.02659434,2016
"""Stone And Glass""",13,1108991875.2060943,2016
"""Precious Metals""",14,270153108.48873293,2016
"""Metals""",15,6718144247.151052,2016
"""Machines""",16,33824233481.427097,2016
"""Transportation""",17,10654854642.584085,2016
"""Instruments""",18,2207094757.9256215,2016
"""Weapons""",19,61717388.89367789,2016
"""Miscellaneous""",20,1765528524.321113,2016
"""Arts and Antiques""",21,4018617.2577931006,2016
"""Animal Products""",1,2871018349.523431,2017
"""Vegetable Products""",2,2933312616.4501896,2017
"""Animal and Vegetable Bi-Products""",3,879648423.6220295,2017
"""Foodstuffs""",4,4899955439.438039,2017
"""Mineral Products""",5,14353698604.055008,2017
"""Chemical Products""",6,7365157079.290224,2017
"""Plastics and Rubbers""",7,4373832265.570787,2017
"""Animal Hides""",8,413521948.37093556,2017
"""Wood Products""",9,673174238.1683716,2017
"""Paper Goods""",10,1746816178.9824207,2017
"""Textiles""",11,3126521296.2011366,2017
"""Footwear and Headwear""",12,553311810.175839,2017
"""Stone And Glass""",13,1272985344.0304585,2017
"""Precious Metals""",14,242861454.50276124,2017
"""Metals""",15,7941097674.696206,2017
"""Machines""",16,36267335884.21443,2017
"""Transportation""",17,11703415436.575592,2017
"""Instruments""",18,2777128426.901587,2017
"""Weapons""",19,98752924.36420229,2017
"""Miscellaneous""",20,1674123646.7625432,2017
"""Arts and Antiques""",21,5232277.5875479,2017
"""Animal Products""",1,3121533998.6119204,2018
"""Vegetable Products""",2,3836820316.166042,2018
"""Animal and Vegetable Bi-Products""",3,799997177.0868031,2018
"""Foodstuffs""",4,5398330168.691145,2018
"""Mineral Products""",5,16912304947.352331,2018
"""Chemical Products""",6,7829050492.618777,2018
"""Plastics and Rubbers""",7,4864867094.482076,2018
"""Animal Hides""",8,440468963.1590947,2018
"""Wood Products""",9,879763486.2458377,2018
"""Paper Goods""",10,2034638196.9559512,2018
"""Textiles""",11,3451244010.52778,2018
"""Footwear and Headwear""",12,653869659.032869,2018
"""Stone And Glass""",13,1478462190.8334017,2018
"""Precious Metals""",14,333955039.2827093,2018
"""Metals""",15,9590936805.30069,2018
"""Machines""",16,39930772804.662575,2018
"""Transportation""",17,12556963592.560785,2018
"""Instruments""",18,2716333093.35159,2018
"""Weapons""",19,158651525.1204266,2018
"""Miscellaneous""",20,1668598119.8940845,2018
"""Arts and Antiques""",21,10153090.835953485,2018
