Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,780559163.8,2010,
"""Vegetable Products""",2,425159409,2010,
"""Animal and Vegetable Bi-Products""",3,979439749.9,2010,
"""Foodstuffs""",4,4358298267,2010,
"""Mineral Products""",5,49022941877,2010,
"""Chemical Products""",6,31839018966,2010,
"""Plastics and Rubbers""",7,10889624723,2010,
"""Animal Hides""",8,192619102.4,2010,
"""Wood Products""",9,126096933.3,2010,
"""Paper Goods""",10,2077330380,2010,
"""Textiles""",11,1204756450,2010,
"""Footwear and Headwear""",12,119072408.6,2010,
"""Stone And Glass""",13,360036319.2,2010,
"""Precious Metals""",14,6022511368,2010,
"""Metals""",15,6521889711,2010,
"""Machines""",16,1.03914E+11,2010,
"""Transportation""",17,6404206969,2010,
"""Instruments""",18,7945080422,2010,
"""Weapons""",19,58145352.34,2010,
"""Miscellaneous""",20,701862126.7,2010,
"""Arts and Antiques""",21,49222868.43,2010,
"""Animal Products""",1,895341450.7,2011,
"""Vegetable Products""",2,639793184.8,2011,
"""Animal and Vegetable Bi-Products""",3,888058024.8,2011,
"""Foodstuffs""",4,5880140104,2011,
"""Mineral Products""",5,65852286480,2011,
"""Chemical Products""",6,40291884038,2011,
"""Plastics and Rubbers""",7,11346624174,2011,
"""Animal Hides""",8,261860397.6,2011,
"""Wood Products""",9,133552498.4,2011,
"""Paper Goods""",10,2503950490,2011,
"""Textiles""",11,1162184552,2011,
"""Footwear and Headwear""",12,137348069,2011,
"""Stone And Glass""",13,534632022.7,2011,
"""Precious Metals""",14,3519298951,2011,
"""Metals""",15,7757518053,2011,
"""Machines""",16,1.06588E+11,2011,
"""Transportation""",17,6424792130,2011,
"""Instruments""",18,8805350533,2011,
"""Weapons""",19,73958050.35,2011,
"""Miscellaneous""",20,716593350.7,2011,
"""Arts and Antiques""",21,84970615.93,2011,
"""Animal Products""",1,744391363.8,2012,
"""Vegetable Products""",2,576893103.5,2012,
"""Animal and Vegetable Bi-Products""",3,570667391,2012,
"""Foodstuffs""",4,5909332951,2012,
"""Mineral Products""",5,65355048036,2012,
"""Chemical Products""",6,41132366055,2012,
"""Plastics and Rubbers""",7,10965000568,2012,
