Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,2724990941,2010,
"""Vegetable Products""",2,1863206242,2010,
"""Animal and Vegetable Bi-Products""",3,751340379.3,2010,
"""Foodstuffs""",4,4742092936,2010,
"""Mineral Products""",5,78928812528,2010,
"""Chemical Products""",6,16133667026,2010,
"""Plastics and Rubbers""",7,7880690423,2010,
"""Animal Hides""",8,788852210.6,2010,
"""Wood Products""",9,486010994.2,2010,
"""Paper Goods""",10,2439306094,2010,
"""Textiles""",11,2959222732,2010,
"""Footwear and Headwear""",12,534280762.4,2010,
"""Stone And Glass""",13,1289413018,2010,
"""Precious Metals""",14,7164907286,2010,
"""Metals""",15,13280567603,2010,
"""Machines""",16,1.18234E+11,2010,
"""Transportation""",17,17566572405,2010,
"""Instruments""",18,9138168708,2010,
"""Weapons""",19,46724074.14,2010,
"""Miscellaneous""",20,2233758704,2010,
"""Arts and Antiques""",21,129409785.3,2010,
"""Animal Products""",1,3251382607,2011,
"""Vegetable Products""",2,2364700515,2011,
"""Animal and Vegetable Bi-Products""",3,1416046620,2011,
"""Foodstuffs""",4,5782458901,2011,
"""Mineral Products""",5,1.11318E+11,2011,
"""Chemical Products""",6,18958432556,2011,
"""Plastics and Rubbers""",7,9789359160,2011,
"""Animal Hides""",8,1019728988,2011,
"""Wood Products""",9,548322836.1,2011,
"""Paper Goods""",10,3052123999,2011,
"""Textiles""",11,3503578978,2011,
"""Footwear and Headwear""",12,608937147.6,2011,
"""Stone And Glass""",13,1536027942,2011,
"""Precious Metals""",14,7461077806,2011,
"""Metals""",15,16663165168,2011,
"""Machines""",16,1.21588E+11,2011,
"""Transportation""",17,24967839867,2011,
"""Instruments""",18,9707418368,2011,
"""Weapons""",19,42520865.64,2011,
"""Miscellaneous""",20,2388744810,2011,
"""Arts and Antiques""",21,198520915.4,2011,
"""Animal Products""",1,3115269357,2012,
"""Vegetable Products""",2,2695093917,2012,
"""Animal and Vegetable Bi-Products""",3,1409724775,2012,
"""Foodstuffs""",4,6113751286,2012,
"""Mineral Products""",5,1.15017E+11,2012,
"""Chemical Products""",6,18818953352,2012,
"""Plastics and Rubbers""",7,9627629866,2012,
"""Animal Hides""",8,1038424709,2012,
"""Wood Products""",9,499677380.3,2012,
"""Paper Goods""",10,2639035941,2012,
"""Textiles""",11,3390360567,2012,
"""Footwear and Headwear""",12,736659186.4,2012,
"""Stone And Glass""",13,1657215035,2012,
"""Precious Metals""",14,9037378151,2012,
"""Metals""",15,15233225530,2012,
"""Machines""",16,1.02803E+11,2012,
"""Transportation""",17,17084902863,2012,
"""Instruments""",18,10275665623,2012,
"""Weapons""",19,35805306.84,2012,
"""Miscellaneous""",20,2818325438,2012,
"""Arts and Antiques""",21,172364957.4,2012,
"""Animal Products""",1,3244906446,2013,
"""Vegetable Products""",2,2479330385,2013,
"""Animal and Vegetable Bi-Products""",3,1082349463,2013,
"""Foodstuffs""",4,6503126757,2013,
"""Mineral Products""",5,1.10639E+11,2013,
"""Chemical Products""",6,19794783985,2013,
"""Plastics and Rubbers""",7,8794225287,2013,
"""Animal Hides""",8,1227789254,2013,
"""Wood Products""",9,587525229.4,2013,
"""Paper Goods""",10,2615643164,2013,
"""Textiles""",11,3964169907,2013,
"""Footwear and Headwear""",12,769865685.1,2013,
