Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,1481338517,2010,
"""Vegetable Products""",2,699126639.4,2010,
"""Animal and Vegetable Bi-Products""",3,58661794.31,2010,
"""Foodstuffs""",4,3023806994,2010,
"""Mineral Products""",5,32680420268,2010,
"""Chemical Products""",6,27802790719,2010,
"""Plastics and Rubbers""",7,31619487763,2010,
"""Animal Hides""",8,1014180405,2010,
"""Wood Products""",9,70511020.56,2010,
"""Paper Goods""",10,3338612514,2010,
"""Textiles""",11,13610809028,2010,
"""Footwear and Headwear""",12,525470945.2,2010,
"""Stone And Glass""",13,1655187425,2010,
"""Precious Metals""",14,4530178156,2010,
"""Metals""",15,41642142792,2010,
"""Machines""",16,1.85E+11,2010,
"""Transportation""",17,98746294865,2010,
"""Instruments""",18,33615547718,2010,
"""Weapons""",19,262815389.2,2010,
"""Miscellaneous""",20,2206157230,2010,
"""Arts and Antiques""",21,83245717.48,2010,
"""Animal Products""",1,1866860659,2011,
"""Vegetable Products""",2,839419024.5,2011,
"""Animal and Vegetable Bi-Products""",3,120807192.8,2011,
"""Foodstuffs""",4,3679207145,2011,
"""Mineral Products""",5,53620335375,2011,
"""Chemical Products""",6,36118736852,2011,
"""Plastics and Rubbers""",7,38031045571,2011,
"""Animal Hides""",8,1150796023,2011,
"""Wood Products""",9,89832639.03,2011,
"""Paper Goods""",10,3704773638,2011,
"""Textiles""",11,15587476793,2011,
"""Footwear and Headwear""",12,572657097.9,2011,
"""Stone And Glass""",13,1854250464,2011,
"""Precious Metals""",14,6584711009,2011,
"""Metals""",15,52066161219,2011,
"""Machines""",16,1.95E+11,2011,
"""Transportation""",17,1.19E+11,2011,
"""Instruments""",18,34570258485,2011,
"""Weapons""",19,286230891.3,2011,
"""Miscellaneous""",20,2740703513,2011,
"""Arts and Antiques""",21,74681023.31,2011,
"""Animal Products""",1,1873568570,2012,
"""Vegetable Products""",2,819189397.3,2012,
"""Animal and Vegetable Bi-Products""",3,111029215.7,2012,
"""Foodstuffs""",4,3899832487,2012,
"""Mineral Products""",5,55976371212,2012,
"""Chemical Products""",6,36523751129,2012,
"""Plastics and Rubbers""",7,38533654701,2012,
"""Animal Hides""",8,1410226042,2012,
"""Wood Products""",9,106458717.2,2012,
"""Paper Goods""",10,3787518638,2012,
"""Textiles""",11,15064691471,2012,
"""Footwear and Headwear""",12,566452198.9,2012,
"""Stone And Glass""",13,2052569923,2012,
"""Precious Metals""",14,7048732887,2012,
"""Metals""",15,51143384120,2012,
"""Machines""",16,1.97E+11,2012,
"""Transportation""",17,1.07E+11,2012,
"""Instruments""",18,35676371862,2012,
"""Weapons""",19,367613648,2012,
"""Miscellaneous""",20,2951318899,2012,
