Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,5804278439,2010,
"""Vegetable Products""",2,6398640850,2010,
"""Animal and Vegetable Bi-Products""",3,998608465.9,2010,
"""Foodstuffs""",4,6421030062,2010,
"""Mineral Products""",5,1.30E+11,2010,
"""Chemical Products""",6,33359755844,2010,
"""Plastics and Rubbers""",7,12367100944,2010,
"""Animal Hides""",8,2370385896,2010,
"""Wood Products""",9,2172703424,2010,
"""Paper Goods""",10,3877445885,2010,
"""Textiles""",11,9744045291,2010,
"""Footwear and Headwear""",12,1422351720,2010,
"""Stone And Glass""",13,5074051158,2010,
"""Precious Metals""",14,3627687294,2010,
"""Metals""",15,46026923541,2010,
"""Machines""",16,1.08E+11,2010,
"""Transportation""",17,14609922830,2010,
"""Instruments""",18,15209987457,2010,
"""Weapons""",19,500794984.9,2010,
"""Miscellaneous""",20,3385024476,2010,
"""Arts and Antiques""",21,199326666.3,2010,
"""Animal Products""",1,8220120043,2011,
"""Vegetable Products""",2,8607691411,2011,
"""Animal and Vegetable Bi-Products""",3,1406039476,2011,
"""Foodstuffs""",4,7474436546,2011,
"""Mineral Products""",5,1.83E+11,2011,
"""Chemical Products""",6,40211169763,2011,
"""Plastics and Rubbers""",7,14494104284,2011,
"""Animal Hides""",8,3245583754,2011,
"""Wood Products""",9,2514181908,2011,
"""Paper Goods""",10,4019974391,2011,
"""Textiles""",11,12642913218,2011,
"""Footwear and Headwear""",12,1865092989,2011,
"""Stone And Glass""",13,5419456194,2011,
"""Precious Metals""",14,4858770797,2011,
"""Metals""",15,52702528308,2011,
"""Machines""",16,1.17E+11,2011,
"""Transportation""",17,15786466582,2011,
"""Instruments""",18,17498063862,2011,
"""Weapons""",19,286305425.6,2011,
"""Miscellaneous""",20,3609096219,2011,
"""Arts and Antiques""",21,222503861.7,2011,
"""Animal Products""",1,7380299167,2012,
"""Vegetable Products""",2,8647517211,2012,
"""Animal and Vegetable Bi-Products""",3,1277940672,2012,
"""Foodstuffs""",4,7591972045,2012,
"""Mineral Products""",5,1.90E+11,2012,
"""Chemical Products""",6,38600519271,2012,
"""Plastics and Rubbers""",7,13854448294,2012,
"""Animal Hides""",8,3231116995,2012,
"""Wood Products""",9,2417392008,2012,
"""Paper Goods""",10,3587393601,2012,
"""Textiles""",11,11802230932,2012,
"""Footwear and Headwear""",12,2027499183,2012,
"""Stone And Glass""",13,5245683304,2012,
"""Precious Metals""",14,3903998327,2012,
"""Metals""",15,46177924176,2012,
"""Machines""",16,1.12E+11,2012,
"""Transportation""",17,15338357470,2012,
"""Instruments""",18,19943007080,2012,
"""Weapons""",19,273713001.9,2012,
"""Miscellaneous""",20,3767983892,2012,
"""Arts and Antiques""",21,179420783.9,2012,
"""Animal Products""",1,7360277826,2013,
"""Vegetable Products""",2,8930250786,2013,
"""Animal and Vegetable Bi-Products""",3,1091150256,2013,
"""Foodstuffs""",4,8376263761,2013,
"""Mineral Products""",5,1.86E+11,2013,
"""Chemical Products""",6,39210705839,2013,
"""Plastics and Rubbers""",7,13397492195,2013,
"""Animal Hides""",8,3228721069,2013,
"""Wood Products""",9,2817167178,2013,
"""Paper Goods""",10,3764334467,2013,
"""Textiles""",11,13292036846,2013,
"""Footwear and Headwear""",12,2250100904,2013,
