Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,3598036343,2010,
"""Vegetable Products""",2,9059082014,2010,
"""Animal and Vegetable Bi-Products""",3,365387088.3,2010,
"""Foodstuffs""",4,14287306362,2010,
"""Mineral Products""",5,9728592123,2010,
"""Chemical Products""",6,9171720245,2010,
"""Plastics and Rubbers""",7,24029744807,2010,
"""Animal Hides""",8,915091022,2010,
"""Wood Products""",9,1749341698,2010,
"""Paper Goods""",10,1751616833,2010,
"""Textiles""",11,8681303763,2010,
"""Footwear and Headwear""",12,1115254924,2010,
"""Stone And Glass""",13,1793416252,2010,
"""Precious Metals""",14,10036842979,2010,
"""Metals""",15,7979493590,2010,
"""Machines""",16,77315565997,2010,
"""Transportation""",17,20594087147,2010,
"""Instruments""",18,4736759012,2010,
"""Weapons""",19,16585564.44,2010,
"""Miscellaneous""",20,2629038306,2010,
"""Arts and Antiques""",21,10180582.53,2010,
"""Animal Products""",1,4009311328,2011,
"""Vegetable Products""",2,11054831602,2011,
"""Animal and Vegetable Bi-Products""",3,801837700.5,2011,
"""Foodstuffs""",4,18521930459,2011,
"""Mineral Products""",5,12762625723,2011,
"""Chemical Products""",6,12121375969,2011,
"""Plastics and Rubbers""",7,33717173583,2011,
"""Animal Hides""",8,990155105.3,2011,
"""Wood Products""",9,2061850664,2011,
"""Paper Goods""",10,6501377822,2011,
"""Textiles""",11,9267329543,2011,
"""Footwear and Headwear""",12,1164897058,2011,
"""Stone And Glass""",13,1843816053,2011,
"""Precious Metals""",14,10256861646,2011,
"""Metals""",15,9413405322,2011,
"""Machines""",16,77227801815,2011,
"""Transportation""",17,21446907016,2011,
"""Instruments""",18,5174725641,2011,
"""Weapons""",19,6271765.925,2011,
"""Miscellaneous""",20,2753651063,2011,
"""Arts and Antiques""",21,12440518.69,2011,
"""Animal Products""",1,3856726196,2012,
"""Vegetable Products""",2,9415532630,2012,
"""Animal and Vegetable Bi-Products""",3,719695025.2,2012,
"""Foodstuffs""",4,18983129721,2012,
"""Mineral Products""",5,14287232261,2012,
"""Chemical Products""",6,12603871269,2012,
"""Plastics and Rubbers""",7,29544292324,2012,
"""Animal Hides""",8,1034973497,2012,
"""Wood Products""",9,2210590921,2012,
"""Paper Goods""",10,1751619238,2012,
"""Textiles""",11,8113668159,2012,
"""Footwear and Headwear""",12,995801459.3,2012,
"""Stone And Glass""",13,1740732913,2012,
"""Precious Metals""",14,11009963692,2012,
"""Metals""",15,11158625696,2012,
"""Machines""",16,75186453869,2012,
"""Transportation""",17,26282745484,2012,
"""Instruments""",18,4936394114,2012,
"""Weapons""",19,4802886.879,2012,
"""Miscellaneous""",20,2813601603,2012,
"""Arts and Antiques""",21,19103104,2012,
"""Animal Products""",1,3112454714,2013,
"""Vegetable Products""",2,9856366248,2013,
"""Animal and Vegetable Bi-Products""",3,847262548.8,2013,
"""Foodstuffs""",4,18230636280,2013,
"""Mineral Products""",5,13439299666,2013,
"""Chemical Products""",6,13418644807,2013,
"""Plastics and Rubbers""",7,29833203642,2013,
"""Animal Hides""",8,1188092440,2013,
"""Wood Products""",9,2338896345,2013,
"""Paper Goods""",10,1845570288,2013,
"""Textiles""",11,8399764350,2013,
"""Footwear and Headwear""",12,973414131.9,2013,
"""Stone And Glass""",13,1882843032,2013,
"""Precious Metals""",14,7973296653,2013,
"""Metals""",15,10472961848,2013,
"""Machines""",16,78104860249,2013,
"""Transportation""",17,28708233264,2013,
"""Instruments""",18,5530678935,2013,
"""Weapons""",19,9311388.115,2013,
"""Miscellaneous""",20,2984422498,2013,
"""Arts and Antiques""",21,17830396.46,2013,
"""Animal Products""",1,3416083699,2014,
"""Vegetable Products""",2,11277193612,2014,
"""Animal and Vegetable Bi-Products""",3,576889935.2,2014,
"""Foodstuffs""",4,18340027469,2014,
"""Mineral Products""",5,11372022012,2014,
"""Chemical Products""",6,13068969900,2014,
"""Plastics and Rubbers""",7,28527307803,2014,
"""Animal Hides""",8,1337264923,2014,
"""Wood Products""",9,2494788254,2014,
"""Paper Goods""",10,1976770984,2014,
"""Textiles""",11,8485283773,2014,
"""Footwear and Headwear""",12,1053839152,2014,
"""Stone And Glass""",13,2110939799,2014,
"""Precious Metals""",14,8420553456,2014,
"""Metals""",15,9801883591,2014,
"""Machines""",16,83545170303,2014,
"""Transportation""",17,28291207737,2014,
