Section,Section ID,Trade Value,Year,Country
"""Animal Products""",1,2667004226,2010,
"""Vegetable Products""",2,2559001319,2010,
"""Animal and Vegetable Bi-Products""",3,227807548.1,2010,
"""Foodstuffs""",4,3274553586,2010,
"""Mineral Products""",5,29082053491,2010,
"""Chemical Products""",6,14828999604,2010,
"""Plastics and Rubbers""",7,8209446979,2010,
"""Animal Hides""",8,830896023.1,2010,
"""Wood Products""",9,579316770.7,2010,
"""Paper Goods""",10,2503383765,2010,
"""Textiles""",11,4129761817,2010,
"""Footwear and Headwear""",12,317308770.2,2010,
"""Stone And Glass""",13,1361308272,2010,
"""Precious Metals""",14,9298066741,2010,
"""Metals""",15,22680390816,2010,
"""Machines""",16,53256192637,2010,
"""Transportation""",17,9071878198,2010,
"""Instruments""",18,5386984024,2010,
"""Weapons""",19,189490170.2,2010,
"""Miscellaneous""",20,1098991647,2010,
"""Arts and Antiques""",21,5954699.694,2010,
"""Animal Products""",1,3460973842,2011,
"""Vegetable Products""",2,3321078499,2011,
"""Animal and Vegetable Bi-Products""",3,436504882,2011,
"""Foodstuffs""",4,3876591370,2011,
"""Mineral Products""",5,39114552779,2011,
"""Chemical Products""",6,17664742338,2011,
"""Plastics and Rubbers""",7,9354764822,2011,
"""Animal Hides""",8,1035059095,2011,
"""Wood Products""",9,643205267.8,2011,
"""Paper Goods""",10,2604090508,2011,
"""Textiles""",11,4918865381,2011,
"""Footwear and Headwear""",12,338958045.8,2011,
"""Stone And Glass""",13,1518800068,2011,
"""Precious Metals""",14,20559827119,2011,
"""Metals""",15,26879272293,2011,
"""Machines""",16,59211459987,2011,
"""Transportation""",17,12425822655,2011,
"""Instruments""",18,6369593808,2011,
"""Weapons""",19,312193907,2011,
"""Miscellaneous""",20,1304760224,2011,
"""Arts and Antiques""",21,4070055.867,2011,
"""Animal Products""",1,3724097067,2012,
"""Vegetable Products""",2,3961469756,2012,
"""Animal and Vegetable Bi-Products""",3,366630115.7,2012,
"""Foodstuffs""",4,4799416832,2012,
"""Mineral Products""",5,42066021843,2012,
"""Chemical Products""",6,17343979648,2012,
"""Plastics and Rubbers""",7,10596111905,2012,
"""Animal Hides""",8,1118020114,2012,
"""Wood Products""",9,686988888.6,2012,
"""Paper Goods""",10,2520258058,2012,
"""Textiles""",11,4910796318,2012,
