Section,Section ID,Trade Value,Year
"""Animal Products""",1,4186767071.090406,2010
"""Vegetable Products""",2,7642178438.641989,2010
"""Animal and Vegetable Bi-Products""",3,81249528.08200371,2010
"""Foodstuffs""",4,2036184568.3234284,2010
"""Mineral Products""",5,8414109758.8810215,2010
"""Chemical Products""",6,1359534558.8282154,2010
"""Plastics and Rubbers""",7,3426753637.3258815,2010
"""Animal Hides""",8,1392232432.2974033,2010
"""Wood Products""",9,1088721829.6927595,2010
"""Paper Goods""",10,450067824.7753092,2010
"""Textiles""",11,14771348329.923153,2010
"""Footwear and Headwear""",12,8241812046.3968115,2010
"""Stone And Glass""",13,780458404.3951842,2010
"""Precious Metals""",14,1260268834.540129,2010
"""Metals""",15,3133346787.7627954,2010
"""Machines""",16,12594496192.97188,2010
"""Transportation""",17,1271575134.878381,2010
"""Instruments""",18,762492652.621645,2010
"""Weapons""",19,734844.0,2010
"""Miscellaneous""",20,4869113209.845054,2010
"""Arts and Antiques""",21,1671197.1016864998,2010
"""Animal Products""",1,4898014753.291211,2011
"""Vegetable Products""",2,9676510604.04168,2011
"""Animal and Vegetable Bi-Products""",3,183692453.12741876,2011
"""Foodstuffs""",4,2695811178.8329782,2011
"""Mineral Products""",5,11297808869.342669,2011
"""Chemical Products""",6,2089651396.0305064,2011
"""Plastics and Rubbers""",7,4502615140.697171,2011
"""Animal Hides""",8,1801288822.1051745,2011
"""Wood Products""",9,1554090948.551177,2011
"""Paper Goods""",10,499443571.45671004,2011
"""Textiles""",11,18403251726.34271,2011
"""Footwear and Headwear""",12,9480383256.979542,2011
"""Stone And Glass""",13,819839548.0333424,2011
"""Precious Metals""",14,1214986027.1994202,2011
"""Metals""",15,4386350086.63061,2011
"""Machines""",16,20114588024.35487,2011
"""Transportation""",17,1806374068.8580885,2011
"""Instruments""",18,989322539.613242,2011
"""Weapons""",19,641280.0,2011
"""Miscellaneous""",20,5129540280.767093,2011
"""Arts and Antiques""",21,2199986.2510093,2011
"""Animal Products""",1,4548292895.021727,2012
"""Vegetable Products""",2,10647088265.06576,2012
"""Animal and Vegetable Bi-Products""",3,180225901.96638042,2012
"""Foodstuffs""",4,2444759552.10115,2012
"""Mineral Products""",5,12023694291.853035,2012
"""Chemical Products""",6,2023809919.3342543,2012
"""Plastics and Rubbers""",7,5264765689.296188,2012
"""Animal Hides""",8,2039102616.0376787,2012
"""Wood Products""",9,1604230799.0031395,2012
"""Paper Goods""",10,475516606.6242882,2012
"""Textiles""",11,18427254121.056698,2012
"""Footwear and Headwear""",12,10356268554.548368,2012
"""Stone And Glass""",13,867652700.2670258,2012
"""Precious Metals""",14,355311459.2611755,2012
"""Metals""",15,4351279616.947043,2012
"""Machines""",16,34380795802.631004,2012
"""Transportation""",17,1330322816.1122735,2012
"""Instruments""",18,1057809454.4762456,2012
"""Weapons""",19,1572564.0,2012
"""Miscellaneous""",20,5464520346.006403,2012
"""Arts and Antiques""",21,2246927.8773581,2012
"""Animal Products""",1,4989822157.169802,2013
"""Vegetable Products""",2,9590619815.817884,2013
"""Animal and Vegetable Bi-Products""",3,214254862.62356743,2013
"""Foodstuffs""",4,3476190064.0019536,2013
"""Mineral Products""",5,10492547229.935064,2013
"""Chemical Products""",6,2313080989.7449145,2013
"""Plastics and Rubbers""",7,5484334076.887878,2013
"""Animal Hides""",8,2579513868.9109406,2013
"""Wood Products""",9,2358635358.545829,2013
"""Paper Goods""",10,659354387.6719897,2013
"""Textiles""",11,23351403062.280792,2013
"""Footwear and Headwear""",12,11922737646.686745,2013
"""Stone And Glass""",13,1115073222.3837953,2013
"""Precious Metals""",14,856737979.7163775,2013
"""Metals""",15,5009804545.353412,2013
"""Machines""",16,52520184803.21475,2013
"""Transportation""",17,1873781974.4939098,2013
"""Instruments""",18,1367607178.8436556,2013
"""Weapons""",19,76855.0,2013
"""Miscellaneous""",20,6267377788.962965,2013
"""Arts and Antiques""",21,2498424.5085372,2013
"""Animal Products""",1,5783592996.149978,2014
"""Vegetable Products""",2,10809766056.921188,2014
"""Animal and Vegetable Bi-Products""",3,271939485.23716474,2014
"""Foodstuffs""",4,4181249480.2934966,2014
"""Mineral Products""",5,10440940477.47841,2014
"""Chemical Products""",6,2853417160.770896,2014
"""Plastics and Rubbers""",7,5423069504.074602,2014
"""Animal Hides""",8,3198463818.1123085,2014
"""Wood Products""",9,2670546673.347916,2014
"""Paper Goods""",10,667505382.3664168,2014
"""Textiles""",11,27406203475.60296,2014
"""Footwear and Headwear""",12,14959950009.023026,2014
"""Stone And Glass""",13,1505243558.2292986,2014
"""Precious Metals""",14,355736981.8120975,2014
"""Metals""",15,6193180523.214006,2014
"""Machines""",16,61043561526.941216,2014
"""Transportation""",17,2420695473.4954934,2014
"""Instruments""",18,1919761465.6947815,2014
"""Weapons""",19,139024.0,2014
"""Miscellaneous""",20,7210344034.820927,2014
"""Arts and Antiques""",21,2323351.9838783,2014
"""Animal Products""",1,5101683856.794859,2015
"""Vegetable Products""",2,10947984258.660162,2015
"""Animal and Vegetable Bi-Products""",3,284863394.24174905,2015
"""Foodstuffs""",4,4043111501.238301,2015
"""Mineral Products""",5,6130641866.459044,2015
"""Chemical Products""",6,2815417874.552877,2015
"""Plastics and Rubbers""",7,5479863166.347039,2015
"""Animal Hides""",8,3856884998.608826,2015
"""Wood Products""",9,2659841093.548483,2015
"""Paper Goods""",10,663002413.9337099,2015
"""Textiles""",11,29962742234.719185,2015
"""Footwear and Headwear""",12,16739743772.484653,2015
"""Stone And Glass""",13,1605966923.998261,2015
"""Precious Metals""",14,346588121.9022388,2015
"""Metals""",15,5916469138.555985,2015
"""Machines""",16,66779429460.32444,2015
"""Transportation""",17,2368000745.4336314,2015
"""Instruments""",18,2061869499.1965015,2015
"""Weapons""",19,145207.0,2015
"""Miscellaneous""",20,8075721768.328975,2015
"""Arts and Antiques""",21,2221072.8111246,2015
"""Animal Products""",1,5203300304.955737,2016
"""Vegetable Products""",2,11665174648.426905,2016
"""Animal and Vegetable Bi-Products""",3,164591069.99093986,2016
"""Foodstuffs""",4,4336699492.82073,2016
"""Mineral Products""",5,4470942806.455973,2016
"""Chemical Products""",6,2636357474.3029194,2016
"""Plastics and Rubbers""",7,5624960277.078575,2016
"""Animal Hides""",8,3895988020.4308696,2016
"""Wood Products""",9,2583498571.961453,2016
"""Paper Goods""",10,612714828.4295927,2016
"""Textiles""",11,31410571747.629604,2016
"""Footwear and Headwear""",12,17861123735.72534,2016
"""Stone And Glass""",13,1453107078.1484795,2016
"""Precious Metals""",14,588610600.0059946,2016
"""Metals""",15,6571594831.237707,2016
"""Machines""",16,75196127485.3251,2016
"""Transportation""",17,2715945833.9963827,2016
"""Instruments""",18,2736494547.0390944,2016
"""Weapons""",19,170673.0,2016
"""Miscellaneous""",20,8814493216.854563,2016
"""Arts and Antiques""",21,2866375.1255881,2016
"""Animal Products""",1,4529590808.906846,2017
"""Vegetable Products""",2,10437913519.222874,2017
"""Animal and Vegetable Bi-Products""",3,111759558.9902721,2017
"""Foodstuffs""",4,4128739239.762935,2017
"""Mineral Products""",5,3738454269.179886,2017
"""Chemical Products""",6,2698339439.746026,2017
"""Plastics and Rubbers""",7,6741160891.354851,2017
"""Animal Hides""",8,4184501576.9710474,2017
"""Wood Products""",9,2607732852.091963,2017
"""Paper Goods""",10,769474636.1166216,2017
"""Textiles""",11,33034245858.482594,2017
"""Footwear and Headwear""",12,20464998528.688854,2017
"""Stone And Glass""",13,1277017093.011795,2017
"""Precious Metals""",14,453183397.38964903,2017
"""Metals""",15,6682716273.14336,2017
"""Machines""",16,99411911076.30675,2017
"""Transportation""",17,2608190988.7560563,2017
"""Instruments""",18,5255732295.0,2017
"""Weapons""",19,87095.0,2017
"""Miscellaneous""",20,10697919152.319221,2017
"""Arts and Antiques""",21,2622439.0,2017
"""Animal Products""",1,5415346417.672403,2018
"""Vegetable Products""",2,11308171167.684277,2018
"""Animal and Vegetable Bi-Products""",3,116937554.36010318,2018
"""Foodstuffs""",4,5192655100.455451,2018
"""Mineral Products""",5,4423439279.089167,2018
"""Chemical Products""",6,3931734373.912318,2018
"""Plastics and Rubbers""",7,7853988109.583645,2018
"""Animal Hides""",8,4558636431.029309,2018
"""Wood Products""",9,3358000859.317532,2018
"""Paper Goods""",10,1071739889.3352182,2018
"""Textiles""",11,38361217439.35891,2018
"""Footwear and Headwear""",12,23415760629.875816,2018
"""Stone And Glass""",13,1830848523.6363635,2018
"""Precious Metals""",14,611570727.7265073,2018
"""Metals""",15,9868715737.88889,2018
"""Machines""",16,129821436222.68573,2018
"""Transportation""",17,3272476248.5801806,2018
"""Instruments""",18,6268173579.454307,2018
"""Weapons""",19,481969.5405619462,2018
"""Miscellaneous""",20,12077932282.8383,2018
"""Arts and Antiques""",21,3216362.0,2018
