Section,Section ID,Trade Value,Year
"""Animal Products""",1,2316123604.133397,2010
"""Vegetable Products""",2,2555458998.3883414,2010
"""Animal and Vegetable Bi-Products""",3,707076717.4524271,2010
"""Foodstuffs""",4,3991641519.374093,2010
"""Mineral Products""",5,8058655606.13048,2010
"""Chemical Products""",6,7434910477.202805,2010
"""Plastics and Rubbers""",7,6563174412.499356,2010
"""Animal Hides""",8,1084334736.844528,2010
"""Wood Products""",9,959153585.4290535,2010
"""Paper Goods""",10,1613794065.1277514,2010
"""Textiles""",11,8399523088.094385,2010
"""Footwear and Headwear""",12,359585082.7356575,2010
"""Stone And Glass""",13,695603784.8563442,2010
"""Precious Metals""",14,1115827140.331398,2010
"""Metals""",15,12657763342.846546,2010
"""Machines""",16,20520858645.798447,2010
"""Transportation""",17,4128524839.3689036,2010
"""Instruments""",18,1702961913.2170959,2010
"""Weapons""",19,6452208.0,2010
"""Miscellaneous""",20,814105962.2295864,2010
"""Arts and Antiques""",21,2193204.5424712,2010
"""Animal Products""",1,3752532098.0464535,2011
"""Vegetable Products""",2,3949188112.7459435,2011
"""Animal and Vegetable Bi-Products""",3,894361088.8169115,2011
"""Foodstuffs""",4,4665652439.372172,2011
"""Mineral Products""",5,11987731174.425495,2011
"""Chemical Products""",6,9271755050.507847,2011
"""Plastics and Rubbers""",7,8240311682.387084,2011
"""Animal Hides""",8,1263900281.4911993,2011
"""Wood Products""",9,1257502510.8868484,2011
"""Paper Goods""",10,1744990829.9140792,2011
"""Textiles""",11,10301132993.568388,2011
"""Footwear and Headwear""",12,402194233.6577103,2011
"""Stone And Glass""",13,765675544.1442463,2011
"""Precious Metals""",14,2630917187.45145,2011
"""Metals""",15,13744998073.30568,2011
"""Machines""",16,26878306816.232056,2011
"""Transportation""",17,4883648886.496617,2011
"""Instruments""",18,1910873494.634379,2011
"""Weapons""",19,3782802.0,2011
"""Miscellaneous""",20,933443986.1681905,2011
"""Arts and Antiques""",21,1430944.4912404,2011
"""Animal Products""",1,3761193280.192865,2012
"""Vegetable Products""",2,4526729928.430977,2012
"""Animal and Vegetable Bi-Products""",3,736696668.7721279,2012
"""Foodstuffs""",4,4600656731.991568,2012
"""Mineral Products""",5,10902997459.059437,2012
"""Chemical Products""",6,8423529803.554156,2012
"""Plastics and Rubbers""",7,8215298072.408878,2012
"""Animal Hides""",8,1086886683.979731,2012
"""Wood Products""",9,772191194.60153,2012
"""Paper Goods""",10,1564421194.0514266,2012
"""Textiles""",11,10185011722.569868,2012
"""Footwear and Headwear""",12,378923501.5066962,2012
"""Stone And Glass""",13,840957828.8433776,2012
"""Precious Metals""",14,239142215.73424363,2012
"""Metals""",15,12667979651.75756,2012
"""Machines""",16,28252406717.850563,2012
"""Transportation""",17,3679785476.0142055,2012
"""Instruments""",18,1946569349.4433196,2012
"""Weapons""",19,60911672.0,2012
"""Miscellaneous""",20,961294169.8282607,2012
"""Arts and Antiques""",21,1404311.3095795,2012
"""Animal Products""",1,4531457700.545457,2013
"""Vegetable Products""",2,5305720529.92167,2013
"""Animal and Vegetable Bi-Products""",3,648324085.9540013,2013
"""Foodstuffs""",4,5902941533.405156,2013
"""Mineral Products""",5,10051008729.864155,2013
"""Chemical Products""",6,10428485710.54409,2013
"""Plastics and Rubbers""",7,9682202489.50308,2013
"""Animal Hides""",8,1544993521.1917853,2013
"""Wood Products""",9,1254144776.3903158,2013
"""Paper Goods""",10,2175915951.142058,2013
"""Textiles""",11,12553524370.900661,2013
"""Footwear and Headwear""",12,591407666.9794686,2013
"""Stone And Glass""",13,1031174248.0540364,2013
"""Precious Metals""",14,1437491093.5079553,2013
"""Metals""",15,15088969242.625475,2013
"""Machines""",16,42254394061.343285,2013
"""Transportation""",17,3740285090.556452,2013
"""Instruments""",18,2725241977.9706726,2013
"""Weapons""",19,153499859.0,2013
"""Miscellaneous""",20,1151354421.734272,2013
"""Arts and Antiques""",21,1414840.5135601999,2013
"""Animal Products""",1,6398280906.6916065,2014
"""Vegetable Products""",2,6208768639.759644,2014
"""Animal and Vegetable Bi-Products""",3,729567086.8074433,2014
"""Foodstuffs""",4,6778281699.055068,2014
"""Mineral Products""",5,10280935781.276405,2014
"""Chemical Products""",6,11292816292.55757,2014
"""Plastics and Rubbers""",7,10791941162.557726,2014
"""Animal Hides""",8,2136300408.6944654,2014
"""Wood Products""",9,1906489619.8467865,2014
"""Paper Goods""",10,2385807222.7011557,2014
"""Textiles""",11,14124650362.617207,2014
"""Footwear and Headwear""",12,785153585.5373015,2014
"""Stone And Glass""",13,1449822678.3093553,2014
"""Precious Metals""",14,390688900.9744511,2014
"""Metals""",15,17769293321.140095,2014
"""Machines""",16,50441036502.74019,2014
"""Transportation""",17,5913947411.205538,2014
"""Instruments""",18,3137109533.72381,2014
"""Weapons""",19,105201615.00000001,2014
"""Miscellaneous""",20,1324153138.380249,2014
"""Arts and Antiques""",21,981139.0521291,2014
"""Animal Products""",1,7043504472.73169,2015
"""Vegetable Products""",2,6866201717.13968,2015
"""Animal and Vegetable Bi-Products""",3,615846627.907411,2015
"""Foodstuffs""",4,6989715963.03888,2015
"""Mineral Products""",5,8069002419.998029,2015
"""Chemical Products""",6,11878702347.427835,2015
"""Plastics and Rubbers""",7,10873806197.41595,2015
"""Animal Hides""",8,2247417900.0574727,2015
"""Wood Products""",9,1784820796.7753627,2015
"""Paper Goods""",10,2424293335.8234797,2015
"""Textiles""",11,14524768468.569326,2015
"""Footwear and Headwear""",12,910532898.845957,2015
"""Stone And Glass""",13,1746588280.2858505,2015
"""Precious Metals""",14,364588378.4423084,2015
"""Metals""",15,17948956918.900978,2015
"""Machines""",16,57502834741.561035,2015
"""Transportation""",17,8705119151.763973,2015
"""Instruments""",18,3486824382.6456475,2015
"""Weapons""",19,159367810.0,2015
"""Miscellaneous""",20,1657640193.0443506,2015
"""Arts and Antiques""",21,1486120.1008687,2015
"""Animal Products""",1,6424423080.316695,2016
"""Vegetable Products""",2,8029698344.8475895,2016
"""Animal and Vegetable Bi-Products""",3,687117492.661126,2016
"""Foodstuffs""",4,7186748783.505776,2016
"""Mineral Products""",5,8088813895.727024,2016
"""Chemical Products""",6,10958690232.61131,2016
"""Plastics and Rubbers""",7,10789577809.719402,2016
"""Animal Hides""",8,1880886032.0023298,2016
"""Wood Products""",9,1445997670.641413,2016
"""Paper Goods""",10,2470740614.364651,2016
"""Textiles""",11,14323203643.518553,2016
"""Footwear and Headwear""",12,648664629.4023885,2016
"""Stone And Glass""",13,1587556476.002883,2016
