departure_continent,departure_country,landing_continent,landing_country,values
Oceania,Australia,Asia,China,"15,751,727.94"
Oceania,Australia,Asia,Japan,"11,750,859.54"
Oceania,Australia,Asia,South Korea,"4,670,493.56"
Oceania,Australia,Asia,Thailand,"852,794.29"
Oceania,Australia,Oceania,New Zealand,"835,395.42"
Asia,Brunei,Asia,Japan,"1,576,861.39"
Asia,Brunei,Asia,Malaysia,"333,116.57"
Asia,Brunei,Asia,Singapore,"53,418.10"
Asia,Brunei,Asia,China,"16,975.64"
Asia,Brunei,Asia,Thailand,"1,501.83"
Asia,Cambodia,Asia,China,"298,918.50"
Asia,Cambodia,Asia,Thailand,"79,009.60"
Asia,Cambodia,Asia,Vietnam,"9,640.56"
Asia,Cambodia,Asia,Japan,"5,796.85"
Asia,Cambodia,Asia,Singapore,"5,205.63"
Asia,China,Asia,Japan,"23,922,492.96"
Asia,China,Asia,South Korea,"18,481,704.15"
Asia,China,Oceania,Australia,"12,440,675.48"
Asia,China,Asia,Vietnam,"10,703,458.38"
Asia,China,Asia,Malaysia,"4,089,942.59"
Asia,Indonesia,Asia,China,"4,449,066.48"
Asia,Indonesia,Asia,Japan,"3,116,770.79"
Asia,Indonesia,Asia,Singapore,"502,343.87"
Asia,Indonesia,Asia,Malaysia,"400,102.69"
Asia,Indonesia,Asia,Thailand,"333,046.32"
Asia,Japan,Asia,China,"21,215,706.51"
Asia,Japan,Asia,South Korea,"12,376,883.48"
Asia,Japan,Asia,Thailand,"7,258,842.06"
Asia,Japan,Oceania,Australia,"1,319,210.71"
Asia,Japan,Asia,Indonesia,"100,778.40"
Asia,Laos,Asia,Thailand,"1,564,043.23"
Asia,Laos,Asia,China,"379,133.63"
Asia,Laos,Asia,Vietnam,"125,072.41"
Asia,Laos,Asia,Japan,"11,024.38"
Asia,Laos,Asia,South Korea,531.14
Asia,Malaysia,Asia,China,"10,127,633.71"
Asia,Malaysia,Asia,Singapore,"2,683,280.79"
Asia,Malaysia,Asia,Japan,"1,698,501.06"
Asia,Malaysia,Asia,Thailand,"1,516,329.74"
Asia,Malaysia,Asia,South Korea,"1,194,302.52"
Asia,Myanmar,Asia,China,"255,588.75"
Asia,Myanmar,Asia,Thailand,"24,753.41"
Asia,Myanmar,Asia,Singapore,"24,753.41"
Asia,Myanmar,Asia,Japan,"24,753.41"
Asia,Myanmar,Asia,Malaysia,"2,023.38"
Oceania,New Zealand,Asia,China,"1,223,406.94"
Oceania,New Zealand,Oceania,Australia,"356,105.38"
Oceania,New Zealand,Asia,Japan,"134,727.89"
Oceania,New Zealand,Asia,South Korea,"25,497.91"
Oceania,New Zealand,Asia,Thailand,"25,497.91"
Asia,Philippines,Asia,China,"1,477,624.65"
Asia,Philippines,Asia,Japan,"1,477,624.65"
Asia,Philippines,Asia,Singapore,"1,477,624.65"
Asia,Philippines,Asia,Thailand,"1,477,624.65"
Asia,Philippines,Asia,South Korea,"1,477,624.65"
Asia,Singapore,Asia,China,"12,595,633.70"
Asia,Singapore,Asia,Malaysia,"8,351,243.16"
Asia,Singapore,Asia,Indonesia,"6,555,330.72"
Asia,Singapore,Asia,Japan,"5,577,013.97"
Asia,Singapore,Asia,South Korea,"3,858,704.36"
Asia,South Korea,Asia,China,"37,454,032.12"
Asia,South Korea,Asia,Japan,"20,135,302.93"
Asia,South Korea,Asia,Vietnam,"5,652,565.53"
Asia,South Korea,Oceania,Australia,"4,049,878.05"
Asia,South Korea,Asia,Singapore,"1,918,723.08"
Asia,Thailand,Asia,China,"6,891,703.88"
Asia,Thailand,Asia,Japan,"5,012,686.36"
Asia,Thailand,Asia,Malaysia,"3,734,219.09"
Asia,Thailand,Asia,Singapore,"3,684,534.15"
Asia,Thailand,Asia,Indonesia,"2,117,692.80"
Asia,Vietnam,Asia,China,"1,470,570.02"
Asia,Vietnam,Asia,South Korea,"1,159,709.26"
Asia,Vietnam,Asia,Japan,"422,719.66"
Asia,Vietnam,Asia,Thailand,"374,627.00"
Asia,Vietnam,Asia,Malaysia,"372,799.52"
